date_generated,intended_entry_date,ticker,strategy,shares,hold_days,planned_exit_date,rank_score,atr14_pct,qqq_risk_on,tp_enabled,ref_close,entry_limit_rule
2026-01-12,2026-01-13,COF,MR_1A,1,10,,0.07917079191217302,0.026939569744026906,True,True,233.1999969482422,limit = ref_close * 1.01 (active 9:30-9:35 ET)
2026-01-12,2026-01-13,COF,TP_v2,1,20,,0.06909902973201087,0.026939569744026906,True,True,233.1999969482422,limit = ref_close * 1.01 (active 9:30-9:35 ET)
2026-01-12,2026-01-13,C,TP_v2,2,20,,0.04541772883140083,0.022184513214114777,True,True,117.69999694824219,limit = ref_close * 1.01 (active 9:30-9:35 ET)
