date_generated,intended_entry_date,ticker,strategy,shares,hold_days,planned_exit_date,rank_score,atr14_pct,qqq_risk_on,tp_enabled,ref_close,entry_limit_rule
2026-01-14,2026-01-15,ADBE,MR_1A,1,10,,0.0883665479470932,0.030861848313630837,True,True,304.44000244140625,limit = ref_close * 1.01 (active 9:30-9:35 ET)
2026-01-14,2026-01-15,CRM,MR_1A,1,10,,0.07836421838065943,0.02898391967985824,True,True,239.57000732421875,limit = ref_close * 1.01 (active 9:30-9:35 ET)
2026-01-14,2026-01-15,QCOM,MR_1A,2,10,,0.07447410048416492,0.029297504735381945,True,True,164.5399932861328,limit = ref_close * 1.01 (active 9:30-9:35 ET)
2026-01-14,2026-01-15,C,MR_1A,2,10,,0.07344210398225848,0.026880409541605716,True,True,112.41000366210938,limit = ref_close * 1.01 (active 9:30-9:35 ET)
2026-01-14,2026-01-15,QCOM,TP_v2,2,20,,0.08685281615644835,0.029297504735381945,True,True,164.5399932861328,limit = ref_close * 1.01 (active 9:30-9:35 ET)
2026-01-14,2026-01-15,C,TP_v2,2,20,,0.0738238352287175,0.026880409541605716,True,True,112.41000366210938,limit = ref_close * 1.01 (active 9:30-9:35 ET)
2026-01-14,2026-01-15,JPM,TP_v2,1,20,,0.058472722982996994,0.022038109398424738,True,True,307.8699951171875,limit = ref_close * 1.01 (active 9:30-9:35 ET)
2026-01-14,2026-01-15,BAC,TP_v2,6,20,,0.056793671496696896,0.021482657519416318,True,True,52.47999954223633,limit = ref_close * 1.01 (active 9:30-9:35 ET)
2026-01-14,2026-01-15,WFC,TP_v2,3,20,,0.05345212500361074,0.023869716140611678,True,True,89.25,limit = ref_close * 1.01 (active 9:30-9:35 ET)
