date_generated,intended_entry_date,ticker,strategy,shares,hold_days,planned_exit_date,rank_score,atr14_pct,qqq_risk_on,tp_enabled,ref_close,entry_limit_rule
2026-01-16,2026-01-19,NOW,MR_1A,2,10,,0.0787322142745146,0.037261980804010025,True,True,127.30999755859375,limit = ref_close * 1.01 (active 9:30-9:35 ET)
2026-01-16,2026-01-19,WFC,TP_v2,3,20,,0.07889525727559599,0.02324857391730637,True,True,88.37999725341797,limit = ref_close * 1.01 (active 9:30-9:35 ET)
2026-01-16,2026-01-19,F,TP_v2,24,20,,0.04225348139821283,0.02076115634963815,True,True,13.600000381469727,limit = ref_close * 1.01 (active 9:30-9:35 ET)
