date_generated,intended_entry_date,ticker,strategy,shares,hold_days,planned_exit_date,rank_score,atr14_pct,qqq_risk_on,tp_enabled,ref_close,entry_limit_rule
2026-01-13,2026-01-14,COF,MR_1A,1,10,,0.09492330142721717,0.026869436070074283,True,True,231.41000366210938,limit = ref_close * 1.01 (active 9:30-9:35 ET)
2026-01-13,2026-01-14,QCOM,MR_1A,2,10,,0.09116403077028401,0.03003977749768726,True,True,165.2899932861328,limit = ref_close * 1.01 (active 9:30-9:35 ET)
2026-01-13,2026-01-14,ADBE,MR_1A,1,10,,0.0858601201494591,0.030795576157492382,True,True,309.92999267578125,limit = ref_close * 1.01 (active 9:30-9:35 ET)
2026-01-13,2026-01-14,CRM,MR_1A,1,10,,0.07473228154887746,0.029192055549532008,True,True,241.05999755859375,limit = ref_close * 1.01 (active 9:30-9:35 ET)
2026-01-13,2026-01-14,AIG,MR_1A,4,10,,0.0720154107890214,0.028417103511814538,True,True,72.29000091552734,limit = ref_close * 1.01 (active 9:30-9:35 ET)
2026-01-13,2026-01-14,COF,TP_v2,1,20,,0.10285337104826708,0.026869436070074283,True,True,231.41000366210938,limit = ref_close * 1.01 (active 9:30-9:35 ET)
2026-01-13,2026-01-14,QCOM,TP_v2,2,20,,0.09405318689579023,0.03003977749768726,True,True,165.2899932861328,limit = ref_close * 1.01 (active 9:30-9:35 ET)
2026-01-13,2026-01-14,JPM,TP_v2,1,20,,0.07085858908294951,0.022106589792912974,True,True,310.8999938964844,limit = ref_close * 1.01 (active 9:30-9:35 ET)
2026-01-13,2026-01-14,C,TP_v2,2,20,,0.050612219985650464,0.022500014905353166,True,True,116.30000305175781,limit = ref_close * 1.01 (active 9:30-9:35 ET)
