date,drawdown
2015-10-16,0.0
2015-10-19,0.0
2015-10-20,0.0
2015-10-21,0.0
2015-10-22,0.0
2015-10-23,0.0
2015-10-26,0.0
2015-10-27,0.0
2015-10-28,0.0
2015-10-29,0.0
2015-10-30,0.0
2015-11-02,0.0
2015-11-03,0.0
2015-11-04,0.0
2015-11-05,0.0
2015-11-06,0.0
2015-11-09,-0.009377910353314811
2015-11-10,-0.03036572804204163
2015-11-11,-0.01936128526844605
2015-11-12,-0.021883443947865122
2015-11-13,-0.020134649384381142
2015-11-16,-0.001894597218006
2015-11-17,0.0
2015-11-18,-0.017574315643296368
2015-11-19,-0.012680064331374807
2015-11-20,0.0
2015-11-23,-0.00012153982675910946
2015-11-24,0.0
2015-11-25,0.0
2015-11-27,0.0
2015-11-30,-0.0030661781784556696
2015-12-01,0.0
2015-12-02,-0.006053711092340985
2015-12-03,-0.021612606173978866
2015-12-04,-0.004562225756970073
2015-12-07,0.0
2015-12-08,0.0
2015-12-09,-0.012119810389256469
2015-12-10,-0.009475074594835986
2015-12-11,-0.027850791323905333
2015-12-14,-0.026070233350764194
2015-12-15,0.0
2015-12-16,0.0
2015-12-17,-0.004391878547769457
2015-12-18,-0.02740980879577304
2015-12-21,-0.022668465621214495
2015-12-22,-0.022671955054849646
2015-12-23,-0.012862121353861222
2015-12-24,-0.013563270607677924
2015-12-28,-0.01463680970020842
2015-12-29,-0.004100483071598049
2015-12-30,-0.0162118462905676
2015-12-31,-0.028572778642169117
2016-01-04,-0.05149769178309338
2016-01-05,-0.07121362175777601
2016-01-06,-0.03424429493297387
2016-01-07,-0.07002554994360388
2016-01-08,-0.09238037847698388
2016-01-11,-0.06232062906074054
2016-01-12,-0.0514234311031565
2016-01-13,-0.12229921835142532
2016-01-14,-0.11686416899442975
2016-01-15,-0.1506834851281148
2016-01-19,-0.15958331350743904
2016-01-20,-0.17061506531403248
2016-01-21,-0.16855966499071817
2016-01-22,-0.1580270285752874
2016-01-25,-0.1717794063413317
2016-01-26,-0.1655355557998197
2016-01-27,-0.17219414383443954
2016-01-28,-0.17528698845131496
2016-01-29,-0.1511584922834619
2016-02-01,-0.15003847049501629
2016-02-02,-0.18658949983450512
2016-02-03,-0.19400788599496133
2016-02-04,-0.19213993107709137
2016-02-05,-0.22143805229426283
2016-02-08,-0.25019531766655445
2016-02-09,-0.25063065857233235
2016-02-10,-0.24490761477084166
2016-02-11,-0.23909527883231896
2016-02-12,-0.22751841938296258
2016-02-16,-0.21225295687339552
2016-02-17,-0.18187265858030188
2016-02-18,-0.1930157802516156
2016-02-19,-0.1925931609520245
2016-02-22,-0.18240585090643713
2016-02-23,-0.1855993688930021
2016-02-24,-0.18664397026435653
2016-02-25,-0.16773124699317843
2016-02-26,-0.16773124699317843
2016-02-29,-0.16773124699317843
2016-03-01,-0.16773124699317843
2016-03-02,-0.16773124699317843
2016-03-03,-0.16773124699317843
2016-03-04,-0.16773124699317843
2016-03-07,-0.16773124699317843
2016-03-08,-0.16773124699317843
2016-03-09,-0.16773124699317843
2016-03-10,-0.16773124699317843
2016-03-11,-0.16773124699317843
2016-03-14,-0.16773124699317843
2016-03-15,-0.16773124699317843
2016-03-16,-0.16773124699317843
2016-03-17,-0.16773124699317843
2016-03-18,-0.16773124699317843
2016-03-21,-0.16773124699317843
2016-03-22,-0.16773124699317843
2016-03-23,-0.16773124699317843
2016-03-24,-0.16773124699317843
2016-03-28,-0.16773124699317843
2016-03-29,-0.16773124699317843
2016-03-30,-0.16773124699317843
2016-03-31,-0.16773124699317843
2016-04-01,-0.16773124699317843
2016-04-04,-0.16773124699317843
2016-04-05,-0.16773124699317843
2016-04-06,-0.16773124699317843
2016-04-07,-0.16773124699317843
2016-04-08,-0.16405948015057614
2016-04-11,-0.16558938690320002
2016-04-12,-0.15153901558394878
2016-04-13,-0.15367557130396858
2016-04-14,-0.16737044216704766
2016-04-15,-0.17465030496527534
2016-04-18,-0.16119953267300813
2016-04-19,-0.18136953442620807
2016-04-20,-0.16629153985986267
2016-04-21,-0.17791176577635315
2016-04-22,0.0
2016-04-25,-0.09439075327517366
2016-04-26,-0.061971626813718816
2016-04-27,-0.04953712380384101
2016-04-28,-0.0480889022564025
2016-04-29,-0.056032574961455084
2016-05-02,-0.02048282492269371
2016-05-03,-0.04783646525237151
2016-05-04,-0.046057740011550274
2016-05-05,-0.036419999088775246
2016-05-06,-0.031676713527323375
2016-05-09,-0.032439027668244025
2016-05-10,-0.032439027668244025
2016-05-11,-0.032439027668244025
2016-05-12,-0.032439027668244025
2016-05-13,-0.032439027668244025
2016-05-16,-0.032439027668244025
2016-05-17,-0.032439027668244025
2016-05-18,-0.032439027668244025
2016-05-19,-0.032439027668244025
2016-05-20,-0.02526231584369598
2016-05-23,-0.029453520497221497
2016-05-24,-0.025090082357103083
2016-05-25,-0.02170270697938259
2016-05-26,-0.023826978384724917
2016-05-27,-0.02388440414793036
2016-05-31,-0.02457338189732461
2016-06-01,-0.026697653302666935
2016-06-02,-0.027214397565468618
2016-06-03,-0.025319741606901314
2016-06-06,-0.0038807894354131456
2016-06-07,-0.00057912321817577
2016-06-08,-0.00470617647084981
2016-06-09,0.0
2016-06-10,-0.016504069938438892
2016-06-13,-0.009902441963063335
2016-06-14,-0.012152049274653298
2016-06-15,-0.013089924497942107
2016-06-16,0.0
2016-06-17,0.0
2016-06-20,-0.006351081205869136
2016-06-21,0.0
2016-06-22,-0.05578654927950888
2016-06-23,-0.028733498152623715
2016-06-24,-0.079630829112729
2016-06-27,-0.11036045081697343
