lookback,retest_k,band,hold_days,n,win_rate,mean_ret,median_ret,p25,p75,mean_mae,mean_mfe
20,3,0.0,10,5026.0,0.5196975726223637,0.00336278638723361,0.0023332126409352227,-0.03104262269685193,0.0335781582650625,-0.041498186357017165,0.04462279874932526
20,3,0.0,20,4997.0,0.561536922153292,0.011865352931322123,0.00970870611902419,-0.03620782807047185,0.05708483295574185,-0.0579423983745265,0.06780729089007918
20,3,0.005,10,6816.0,0.528169014084507,0.0039042550429483147,0.003299045784285859,-0.029520186201015763,0.034467310986555144,-0.041198122771334854,0.044653126514999184
20,3,0.005,20,6772.0,0.5583284111045481,0.011519395876076048,0.009991804323920328,-0.03689101197514935,0.05689505547986795,-0.058156259206506855,0.06750351549630867
20,5,0.0,10,6186.0,0.5297445845457485,0.003955634552500521,0.003799905976671236,-0.030460844537087917,0.03529554439307142,-0.04124913864707107,0.045254168798831824
20,5,0.0,20,6152.0,0.5656697009102731,0.01218003817133152,0.010572201335040665,-0.03614180987800292,0.0573694072785611,-0.057849848563437486,0.06867594270923126
20,5,0.005,10,7836.0,0.5322868810617662,0.0041676570589038175,0.004050411760715744,-0.029805710141621616,0.03543592349427027,-0.04117204325146528,0.045155231054098084
20,5,0.005,20,7788.0,0.5607344632768362,0.011834293186755359,0.010420715011185244,-0.03640654334094026,0.05714184154574187,-0.05807951348535557,0.06832028065345756
20,10,0.0,10,7613.0,0.5342177853671352,0.004527193222314889,0.004288873258418757,-0.029902046651589687,0.035956018749151664,-0.04153575209218766,0.0456893380892792
20,10,0.0,20,7567.0,0.5640280163869433,0.01244771659734419,0.010678430639629033,-0.036028890668993896,0.05745611998817057,-0.057864161929634325,0.0691115007749668
20,10,0.005,10,8932.0,0.5343708016121809,0.004601786390830361,0.004252426976135482,-0.029792809311599472,0.03635059146798092,-0.041387649013699415,0.04556992706614988
20,10,0.005,20,8875.0,0.5628169014084508,0.012369760084621383,0.011042922804595179,-0.03604237801098453,0.057233937307081706,-0.057996826962525366,0.06882290166083589
50,3,0.0,10,3718.0,0.5274341043571813,0.0040909654507091525,0.003299045784285859,-0.028420407715540996,0.034174107970002754,-0.0415395208825659,0.04482493938503809
50,3,0.0,20,3695.0,0.5745602165087956,0.013527027537955774,0.011711767477568191,-0.03306569557239897,0.058215798045833655,-0.05727720534514914,0.06940372716744174
50,3,0.005,10,5015.0,0.5326021934197408,0.0042942548943338665,0.003640968823105384,-0.027891458018328263,0.03436067453131453,-0.04115301083036918,0.044663008685495116
50,3,0.005,20,4982.0,0.5702529104777198,0.013243658353176115,0.011380331725773796,-0.03335073961919824,0.057956010214622544,-0.05725331525508955,0.06874962185627796
50,5,0.0,10,4586.0,0.5381596162232882,0.004822630799810143,0.0046394600050071455,-0.028026801201954082,0.035144643130450404,-0.040947504116564504,0.04539458046220169
50,5,0.0,20,4559.0,0.5781969730203992,0.014016394148561706,0.012279284087014508,-0.032215946261937245,0.05826859767592352,-0.056727411743943836,0.07012814008767944
50,5,0.005,10,5777.0,0.5357451964687554,0.0044513244935443725,0.004156743203996172,-0.0279329353973935,0.03490329585804708,-0.041047872431286256,0.04515712066711177
50,5,0.005,20,5741.0,0.5704581083434942,0.013301683876098695,0.011415095680757492,-0.03330800008699275,0.05790156217213083,-0.057136186588348535,0.06944340770645419
50,10,0.0,10,5632.0,0.5406605113636364,0.005441756970084801,0.004833515274104139,-0.02788912883831407,0.035787099433062686,-0.04117861458457461,0.04591822809684525
50,10,0.0,20,5596.0,0.5729092208720514,0.013936594179824477,0.011793076687904858,-0.03302654629038129,0.05812725448238315,-0.056821701003134106,0.07036245515175603
50,10,0.005,10,6590.0,0.5380880121396054,0.004930784515421693,0.004452558352970648,-0.028042268286063016,0.035890314220266895,-0.04127981257872148,0.04556495490118411
50,10,0.005,20,6548.0,0.5705558949297496,0.013637865973514997,0.011782370528077957,-0.033219260959773206,0.0577717073168163,-0.057146742483187504,0.06986241700133496
100,3,0.0,10,2949.0,0.5228891149542217,0.004208148570917553,0.002688481979030488,-0.028498996517189235,0.03318705555610202,-0.041608937174585046,0.04512463377732847
100,3,0.0,20,2926.0,0.5813397129186603,0.015016120747459054,0.01301370541273561,-0.031863251447611124,0.05965608974041553,-0.057672033322841355,0.07093894948598968
100,3,0.005,10,3932.0,0.5274669379450662,0.004448332950058532,0.003065612728104017,-0.0278798911972864,0.03352413077584482,-0.04120761954347132,0.04502674766709756
100,3,0.005,20,3899.0,0.5755321877404462,0.014253262533877372,0.01176118742281873,-0.03320523723837615,0.059019054122081194,-0.05775495501720419,0.07005299149690433
100,5,0.0,10,3624.0,0.5328366445916115,0.004824792453714349,0.0042261167802787325,-0.028072897255034757,0.03412632380285746,-0.040962734967939195,0.04569706535670497
100,5,0.0,20,3597.0,0.5852098971365026,0.015380510733170769,0.01325391424540201,-0.031344710292340205,0.059254378960117426,-0.057068021241663255,0.07177360772772505
100,5,0.005,10,4510.0,0.5301552106430155,0.004612890425346916,0.0034087112882341675,-0.027885641324366467,0.034180364952670905,-0.0410593623427379,0.04558043457288785
100,5,0.005,20,4474.0,0.5762181493071077,0.014360712818502656,0.011859967220504308,-0.0331845841000763,0.05871687955904881,-0.05756950749654855,0.07098131755212049
100,10,0.0,10,4403.0,0.53645241880536,0.005515238981771974,0.004528160832943051,-0.02808178211743939,0.03513110046304235,-0.041317776174182606,0.04644847502731914
100,10,0.0,20,4367.0,0.5738493244790474,0.014539241336396577,0.01209465567904533,-0.033036680072612234,0.058196143077187346,-0.057420708452436554,0.07189370220242079
