year,n,win_net,mean_net,median_net,mean_mae,ma_alignment
2015,19.0,0.2631578947368421,-0.037636558992980816,-0.030476725535979354,-0.07951120890204753,False
2016,170.0,0.5882352941176471,0.02790775562216236,0.017320018308655816,-0.06271956920458728,False
2017,234.0,0.6965811965811965,0.042506913350231997,0.03578838818153662,-0.043210253673132394,False
2018,677.0,0.6115214180206795,0.009899822366290277,0.01666338343842222,-0.06811526432481747,False
2019,240.0,0.6625,0.031565176572176785,0.02536789428159969,-0.04657885152498113,False
2020,693.0,0.6002886002886003,0.010807267884434485,0.02219762388790003,-0.1076503951055208,False
2021,926.0,0.6241900647948164,0.03457820795322946,0.023769495219528092,-0.050725853190252385,False
2022,495.0,0.4383838383838384,-0.011104166233286587,-0.013449228221903642,-0.08873031136116247,False
2023,433.0,0.5773672055427251,0.021179101175140914,0.012713291915800617,-0.058761712359157385,False
2024,658.0,0.6428571428571429,0.03111805422860326,0.028588453054894547,-0.05668729656772798,False
2025,588.0,0.5017006802721088,8.817965509670725e-05,0.0004849193362922444,-0.08257327871709316,False
2015,14.0,0.2857142857142857,-0.02293157356976038,-0.030200446499890232,-0.07562767915901351,True
2016,170.0,0.5882352941176471,0.02790775562216236,0.017320018308655816,-0.06271956920458728,True
2017,234.0,0.6965811965811965,0.042506913350231997,0.03578838818153662,-0.043210253673132394,True
2018,673.0,0.6151560178306092,0.010406901336796623,0.017249331447092286,-0.06787347173125363,True
2019,232.0,0.6637931034482759,0.03175637607201454,0.02536789428159969,-0.046339482015327206,True
2020,679.0,0.5949926362297496,0.00944861369731136,0.021761998754937784,-0.1091642641452867,True
2021,914.0,0.6214442013129103,0.03351524844841243,0.02311859871490829,-0.050825860648603775,True
2022,489.0,0.4396728016359918,-0.01103997953672302,-0.013449228221903642,-0.089263529819986,True
2023,428.0,0.572429906542056,0.020538509199991267,0.011932908713539692,-0.05908500462825579,True
2024,653.0,0.6462480857580398,0.03133738796466977,0.028712276247169655,-0.05682905426468135,True
2025,569.0,0.4956063268892794,-0.0010517200284433674,-0.000522556328699797,-0.08374614311870728,True
