strategy,ticker,signal_date,entry_date,exit_date,entry_open,exit_close,net_ret
MR_1A,ABBV,2022-08-01,2022-08-02,2022-08-15,141.17999267578125,142.2899932861328,0.007577908398398003
MR_1A,ABBV,2023-04-27,2023-04-28,2023-05-11,147.97000122070312,146.58999633789062,-0.009595275836877692
MR_1A,ABBV,2023-04-28,2023-05-01,2023-05-12,150.83999633789062,147.14999389648438,-0.0247249272965111
MR_1A,ABBV,2024-11-11,2024-11-12,2024-11-25,176.00999450683594,177.05999755859375,0.005737675869316616
MR_1A,ABBV,2024-11-12,2024-11-13,2024-11-26,171.6699981689453,181.13999938964844,0.05492458105465081
MR_1A,ABBV,2024-11-13,2024-11-14,2024-11-27,170.0,183.0800018310547,0.07669686996267888
MR_1A,ABBV,2025-04-04,2025-04-07,2025-04-21,181.02999877929688,170.16000366210938,-0.06025957023334194
MR_1A,ABBV,2025-04-07,2025-04-08,2025-04-22,187.60000610351562,173.77999877929688,-0.07387275809260863
MR_1A,ABBV,2025-04-08,2025-04-09,2025-04-23,168.3000030517578,177.0500030517578,0.05174667206559924
MR_1A,ABT,2016-01-28,2016-01-29,2016-02-11,36.689998626708984,36.34000015258789,-0.010623767058311695
MR_1A,ABT,2016-04-28,2016-04-29,2016-05-12,40.369998931884766,38.0,-0.05966820984444898
MR_1A,ABT,2016-04-29,2016-05-02,2016-05-13,38.849998474121094,37.599998474121094,-0.0331875495405245
MR_1A,ABT,2016-05-02,2016-05-03,2016-05-16,38.79999923706055,38.25,-0.015198332010715077
MR_1A,ABT,2020-02-25,2020-02-26,2020-03-10,82.12999725341797,80.87999725341797,-0.01570298287437033
MR_1A,ABT,2020-03-20,2020-03-23,2020-04-03,67.06999969482422,79.44999694824219,0.18393199149723616
MR_1A,ABT,2020-03-23,2020-03-24,2020-04-06,64.91000366210938,82.7300033569336,0.2738333388574863
MR_1A,ABT,2021-06-01,2021-06-02,2021-06-15,105.79000091552734,110.41000366210938,0.04328515931342314
MR_1A,ABT,2021-06-02,2021-06-03,2021-06-16,107.0,110.05999755859375,0.028219001668788657
MR_1A,ABT,2022-05-09,2022-05-10,2022-05-23,108.91000366210938,115.02999877929688,0.055815614732255714
MR_1A,ABT,2022-06-13,2022-06-14,2022-06-28,105.0999984741211,106.97000122070312,0.017408702179847912
MR_1A,ABT,2022-06-14,2022-06-15,2022-06-29,104.31999969482422,109.0999984741211,0.04542839556412237
MR_1A,ABT,2022-10-20,2022-10-21,2022-11-03,94.3499984741211,96.44999694824219,0.021828955255160043
MR_1A,ABT,2022-10-21,2022-10-24,2022-11-04,96.05000305175781,98.06999969482422,0.020609936298218834
MR_1A,ABT,2025-07-17,2025-07-18,2025-07-31,122.62999725341797,126.19000244140625,0.028699594511325532
MR_1A,ACN,2016-02-09,2016-02-10,2016-02-24,94.43000030517578,99.55000305175781,0.05378510037234663
MR_1A,ACN,2018-03-23,2018-03-26,2018-04-09,149.0,148.25,-0.005301301838679495
MR_1A,ACN,2018-12-21,2018-12-24,2019-01-08,136.5800018310547,145.13999938964844,0.06237187001747757
MR_1A,ACN,2018-12-24,2018-12-26,2019-01-09,134.8000030517578,145.8699951171875,0.08181272671530215
MR_1A,ACN,2020-02-25,2020-02-26,2020-03-10,198.6699981689453,174.55999755859375,-0.12154613132472292
MR_1A,ACN,2020-02-26,2020-02-27,2020-03-11,192.1999969482422,165.11000061035156,-0.14114034319330349
MR_1A,ACN,2020-02-27,2020-02-28,2020-03-12,180.25999450683594,152.52999877929688,-0.15403814385231795
MR_1A,ACN,2020-02-28,2020-03-02,2020-03-13,182.0,166.50999450683594,-0.08532032465203865
MR_1A,ACN,2020-03-09,2020-03-10,2020-03-23,171.0800018310547,143.69000244140625,-0.16031559962654485
MR_1A,ACN,2020-03-11,2020-03-12,2020-03-25,153.0,151.82000732421875,-0.007972766146786547
MR_1A,ACN,2020-03-12,2020-03-13,2020-03-26,160.6199951171875,171.33999633789062,0.06648407336486772
MR_1A,ACN,2020-03-16,2020-03-17,2020-03-30,154.0,169.82000732421875,0.1024542742774881
MR_1A,ACN,2020-03-18,2020-03-19,2020-04-01,151.36000061035156,154.67999267578125,0.02166727475363328
MR_1A,ACN,2020-04-02,2020-04-03,2020-04-17,155.60000610351562,175.08999633789062,0.1249838675718673
MR_1A,ACN,2020-06-11,2020-06-12,2020-06-25,201.10000610351562,217.32000732421875,0.08044948652385853
MR_1A,ACN,2020-09-24,2020-09-25,2020-10-08,213.02999877929688,225.61000061035156,0.05885943160246221
MR_1A,ACN,2020-09-25,2020-09-28,2020-10-09,219.08999633789062,228.69000244140625,0.043631081480979494
MR_1A,ACN,2022-01-06,2022-01-07,2022-01-21,379.0899963378906,335.6300048828125,-0.1147424016124009
MR_1A,ACN,2022-01-07,2022-01-10,2022-01-24,363.4200134277344,339.0,-0.06730137718476037
MR_1A,ACN,2022-01-18,2022-01-19,2022-02-01,351.0,353.4200134277344,0.006780278695613928
MR_1A,ACN,2022-02-14,2022-02-15,2022-03-01,332.7200012207031,311.3500061035156,-0.064344518358604
MR_1A,ACN,2022-05-09,2022-05-10,2022-05-23,290.0,283.3900146484375,-0.022929402632792417
MR_1A,ACN,2022-06-13,2022-06-14,2022-06-28,274.6499938964844,283.79998779296875,0.033167051730877084
MR_1A,ACN,2022-09-15,2022-09-16,2022-09-29,273.07000732421875,258.2699890136719,-0.054341125315978456
MR_1A,ACN,2022-11-03,2022-11-04,2022-11-17,259.92999267578125,287.1400146484375,0.10452018749061365
MR_1A,ACN,2022-11-04,2022-11-07,2022-11-18,262.75,286.5,0.09023100049472932
MR_1A,ACN,2022-12-16,2022-12-19,2023-01-03,263.1600036621094,270.260009765625,0.02682576945541748
MR_1A,ACN,2022-12-19,2022-12-20,2023-01-04,253.74000549316406,269.3399963378906,0.06131774317425176
MR_1A,ACN,2024-03-21,2024-03-22,2024-04-05,350.3299865722656,333.0,-0.04957895600970075
MR_1A,ACN,2024-03-22,2024-03-25,2024-04-08,336.010009765625,331.79998779296875,-0.012647745288048906
MR_1A,ACN,2024-03-25,2024-03-26,2024-04-09,335.1400146484375,334.45001220703125,-0.0021780713972456844
MR_1A,ACN,2025-03-20,2025-03-21,2025-04-03,298.04998779296875,301.4599914550781,0.01130608179328041
MR_1A,ACN,2025-04-04,2025-04-07,2025-04-21,278.94000244140625,279.2300109863281,0.0008962164566026498
MR_1A,ACN,2025-04-07,2025-04-08,2025-04-22,290.2900085449219,283.9599914550781,-0.021942120155523437
MR_1A,ACN,2025-06-20,2025-06-23,2025-07-07,286.0,300.5400085449219,0.05069578541683062
MR_1A,ACN,2025-07-11,2025-07-14,2025-07-25,280.69000244140625,283.1499938964844,0.00862096624285158
MR_1A,ACN,2025-08-01,2025-08-04,2025-08-15,258.0799865722656,247.00999450683594,-0.04304530276416341
MR_1A,ACN,2025-08-05,2025-08-06,2025-08-19,247.6999969482422,255.8800048828125,0.03285971271940169
MR_1A,ADBE,2016-02-05,2016-02-08,2016-02-22,77.4000015258789,83.80000305175781,0.08214933351238662
MR_1A,ADBE,2016-02-08,2016-02-09,2016-02-23,74.76000213623047,83.06999969482422,0.11059103132315906
MR_1A,ADBE,2016-02-09,2016-02-10,2016-02-24,74.98999786376953,83.41999816894531,0.11185176035351185
MR_1A,ADBE,2016-06-24,2016-06-27,2016-07-11,91.36000061035156,97.13999938964844,0.06281460648892412
MR_1A,ADBE,2017-12-05,2017-12-06,2017-12-19,166.7899932861328,174.97000122070312,0.04879808322159418
MR_1A,ADBE,2018-07-30,2018-07-31,2018-08-13,244.92999267578125,253.5399932861328,0.034986735523992785
MR_1A,ADBE,2018-10-10,2018-10-11,2018-10-24,236.41000366210938,238.44000244140625,0.008416862278363135
MR_1A,ADBE,2018-11-20,2018-11-21,2018-12-06,225.3300018310547,250.6300048828125,0.11209231349682991
MR_1A,ADBE,2018-12-17,2018-12-18,2019-01-02,222.52999877929688,224.57000732421875,0.008986782996594167
MR_1A,ADBE,2018-12-18,2018-12-19,2019-01-03,225.9199981689453,215.6999969482422,-0.04541029168740318
MR_1A,ADBE,2018-12-21,2018-12-24,2019-01-08,206.89999389648438,232.67999267578125,0.12439589956770325
MR_1A,ADBE,2018-12-24,2018-12-26,2019-01-09,206.52999877929688,235.42999267578125,0.1397240090391958
MR_1A,ADBE,2020-02-25,2020-02-26,2020-03-10,349.3999938964844,332.3800048828125,-0.04882373450766486
MR_1A,ADBE,2020-03-09,2020-03-10,2020-03-23,318.9800109863281,307.2699890136719,-0.03683392341061642
MR_1A,ADBE,2020-03-16,2020-03-17,2020-03-30,291.20001220703125,318.3900146484375,0.09322849152998836
MR_1A,ADBE,2020-03-18,2020-03-19,2020-04-01,291.7699890136719,301.2099914550781,0.03221495868717361
MR_1A,ADBE,2020-04-03,2020-04-06,2020-04-20,306.55999755859375,344.8800048828125,0.12486139875091729
MR_1A,ADBE,2020-07-15,2020-07-16,2020-07-29,428.42999267578125,436.29998779296875,0.01827516688304076
MR_1A,ADBE,2020-09-08,2020-09-09,2020-09-22,473.9100036621094,486.7799987792969,0.027071497938617073
MR_1A,ADBE,2020-11-10,2020-11-11,2020-11-24,458.489990234375,462.70001220703125,0.009094724349462346
MR_1A,ADBE,2021-09-28,2021-09-29,2021-10-12,585.4500122070312,580.6900024414062,-0.008198557851888055
MR_1A,ADBE,2021-09-29,2021-09-30,2021-10-13,580.6400146484375,591.1199951171875,0.01797950643298729
MR_1A,ADBE,2021-12-03,2021-12-06,2021-12-17,617.469970703125,556.6400146484375,-0.09857642867523164
MR_1A,ADBE,2021-12-16,2021-12-17,2021-12-31,566.0900268554688,567.0599975585938,0.0016427384413073565
MR_1A,ADBE,2021-12-17,2021-12-20,2022-01-03,545.6099853515625,564.3699951171875,0.034308982768905816
MR_1A,ADBE,2021-12-20,2021-12-21,2022-01-04,550.9099731445312,554.0,0.005536142530166321
MR_1A,ADBE,2022-01-05,2022-01-06,2022-01-20,510.0,510.8500061035156,0.0015881849800314374
MR_1A,ADBE,2022-01-06,2022-01-07,2022-01-21,513.6599731445312,499.9100036621094,-0.02684544892417251
MR_1A,ADBE,2022-01-07,2022-01-10,2022-01-24,500.0,519.6599731445312,0.03923837675399233
MR_1A,ADBE,2022-02-11,2022-02-14,2022-02-28,473.20001220703125,467.67999267578125,-0.01174933305402448
MR_1A,ADBE,2022-02-14,2022-02-15,2022-03-01,482.5299987792969,466.67999267578125,-0.03292924286335597
MR_1A,ADBE,2022-02-18,2022-02-22,2022-03-07,440.3500061035156,437.9700012207031,-0.005495389897748004
MR_1A,ADBE,2022-02-22,2022-02-23,2022-03-08,447.7799987792969,431.5299987792969,-0.036377847352404014
MR_1A,ADBE,2022-03-07,2022-03-08,2022-03-21,432.510009765625,453.5899963378906,0.048643992549017856
MR_1A,ADBE,2022-03-14,2022-03-15,2022-03-28,415.9700012207031,450.010009765625,0.08173275426128157
MR_1A,ADBE,2022-03-25,2022-03-28,2022-04-08,433.4200134277344,445.3399963378906,0.027408597596255246
MR_1A,ADBE,2022-05-09,2022-05-10,2022-05-23,385.7200012207031,406.760009765625,0.054440837036516365
MR_1A,ADBE,2022-06-10,2022-06-13,2022-06-27,377.3599853515625,381.07000732421875,0.009725004279803828
MR_1A,ADBE,2022-06-13,2022-06-14,2022-06-28,371.44000244140625,365.6300048828125,-0.01574866074448078
MR_1A,ADBE,2022-06-14,2022-06-15,2022-06-29,376.0299987792969,368.5,-0.0201302986407923
MR_1A,ADBE,2022-07-26,2022-07-27,2022-08-09,385.0799865722656,426.57000732421875,0.10763443832053965
MR_1A,ADBE,2022-08-26,2022-08-29,2022-09-12,380.0899963378906,396.3599853515625,0.042698137828621086
MR_1A,ADBE,2022-08-29,2022-08-30,2022-09-13,379.9200134277344,368.3900146484375,-0.030452172370356245
MR_1A,ADBE,2022-08-30,2022-08-31,2022-09-14,378.5299987792969,371.5199890136719,-0.018623721538393867
MR_1A,ADBE,2022-09-15,2022-09-16,2022-09-29,298.32000732421875,278.25,-0.06740633783776884
MR_1A,ADBE,2022-09-16,2022-09-19,2022-09-30,294.8800048828125,275.20001220703125,-0.06687009952277745
MR_1A,ADBE,2022-09-19,2022-09-20,2022-10-03,292.82000732421875,285.239990234375,-0.026021093085847324
MR_1A,ADBE,2022-11-02,2022-11-03,2022-11-16,297.07000732421875,338.4100036621094,0.13901509751157448
MR_1A,ADBE,2022-11-03,2022-11-04,2022-11-17,290.3800048828125,337.8299865722656,0.16325750995970156
MR_1A,ADBE,2022-11-04,2022-11-07,2022-11-18,288.9700012207031,330.8599853515625,0.14481464394644705
MR_1A,ADBE,2023-02-21,2023-02-22,2023-03-07,346.69000244140625,344.79998779296875,-0.005566654076452959
MR_1A,ADBE,2023-02-24,2023-02-27,2023-03-10,322.0199890136719,329.29998779296875,0.02248167627092279
MR_1A,ADBE,2023-02-27,2023-02-28,2023-03-13,323.3699951171875,324.2699890136719,0.0026593089132913583
MR_1A,ADBE,2023-05-03,2023-05-04,2023-05-17,347.9700012207031,356.6300048828125,0.024770837184607597
MR_1A,ADBE,2023-05-04,2023-05-05,2023-05-18,338.9800109863281,360.42999267578125,0.0631562861227064
MR_1A,ADBE,2023-12-15,2023-12-18,2024-01-02,591.52001953125,580.0700073242188,-0.019423896655607842
MR_1A,ADBE,2024-02-16,2024-02-20,2024-03-04,531.5,567.9400024414062,0.06848284625490342
MR_1A,ADBE,2024-02-20,2024-02-21,2024-03-05,539.760009765625,544.8400268554688,0.00933716884408553
MR_1A,ADBE,2024-02-21,2024-02-22,2024-03-06,553.9400024414062,543.0900268554688,-0.019658414935994073
MR_1A,ADBE,2024-03-15,2024-03-18,2024-04-01,495.54998779296875,502.0899963378906,0.013116227182904838
MR_1A,ADBE,2024-03-18,2024-03-19,2024-04-02,509.8900146484375,499.2099914550781,-0.021023362721656613
MR_1A,ADBE,2024-03-19,2024-03-20,2024-04-03,523.2899780273438,497.010009765625,-0.050295177556013426
MR_1A,ADBE,2024-05-31,2024-06-03,2024-06-14,447.5799865722656,525.3099975585938,0.17357018167332994
MR_1A,ADBE,2024-06-03,2024-06-04,2024-06-17,442.82000732421875,518.739990234375,0.17134852690624647
MR_1A,ADBE,2024-08-05,2024-08-06,2024-08-19,513.6900024414062,563.1199951171875,0.09614372397083071
MR_1A,ADBE,2024-09-16,2024-09-17,2024-09-30,524.2899780273438,517.780029296875,-0.012492512072938555
