ret3d_max,n,win_rate,mean_ret,median_ret,p25,p75,mean_mae,mean_mfe
-0.03,22182.0,0.5509422053917591,0.004713394853057322,0.005595776910213179,-0.025272271021119203,0.035052513471386715,-0.0400135810486225,0.04327680586125577
-0.04,15086.0,0.5507755534933051,0.005553451608688551,0.00590098174146203,-0.026426006273778113,0.03746770816222783,-0.0427650516058121,0.04673020997529494
-0.05,10183.0,0.5532750662869489,0.006548968668673354,0.006333116247635884,-0.02798287021725321,0.041118401729093534,-0.0461951183679926,0.050908192753920105
-0.06,6988.0,0.5518030910131654,0.007090206031772798,0.006851537079108905,-0.030239508376281116,0.04374899680258382,-0.05011068628717321,0.05535207356867634
-0.07,4802.0,0.5426905456059975,0.006879724882911428,0.005872574190006863,-0.03352884255866945,0.04649619723623205,-0.05489246866801298,0.05975394211848271
