hold_days,n,win_gross,mean_gross,median_gross,win_net,mean_net,median_net,p25_net,p75_net,mean_mae,mean_mfe
5,2504.0,0.5662939297124601,0.004858266737493574,0.006307972465848466,0.5611022364217252,0.004172768064535152,0.005710655600249637,-0.0204316410168294,0.030792799378970948,-0.03271969082002718,0.03388307849796669
10,2501.0,0.5777688924430228,0.00796041644662133,0.010518743868909164,0.5733706517393042,0.0072680251740931704,0.009864228238049,-0.02789601977098699,0.04493183698280334,-0.0450661301100821,0.049845506023522425
20,2490.0,0.6032128514056225,0.015649791436120008,0.017266132154920122,0.6020080321285141,0.014949849229514783,0.016965575116902,-0.03105500240177511,0.06528179244025117,-0.06217124454800852,0.07311940718955733
