year,n,win_rate,mean_ret,median_ret,mean_mae,mean_mfe
2016,173.0,0.7167630057803468,0.037251711501494936,0.03801165830216213,-0.04201150217664146,0.08408894092942831
2017,117.0,0.5726495726495726,0.007151723306693945,0.01665341283771249,-0.053090685504058766,0.06691590501719334
2018,205.0,0.47317073170731705,0.009996518478893634,-0.004594739190717956,-0.07280660354157716,0.07509966153535609
2019,164.0,0.5792682926829268,0.003934286443758264,0.010846002821701672,-0.04973406296742751,0.05071435584401933
2020,635.0,0.6614173228346457,0.033773075758548515,0.023758923070814397,-0.05614401922161195,0.09514404351622226
2021,667.0,0.5892053973013494,0.01517903440456667,0.015461020286867022,-0.05775023801981037,0.06802399983065906
2022,44.0,0.5681818181818182,-0.010169491697035654,0.015034365628463386,-0.10092456563043757,0.07079448927046433
2023,340.0,0.5941176470588235,0.0176218756417791,0.016794595628735087,-0.05268683402149424,0.06957297436130508
2024,437.0,0.585812356979405,0.017068885815694126,0.012328049193092161,-0.05367693037978244,0.07002797972209344
2025,363.0,0.5619834710743802,0.006548677445097493,0.007242905314920556,-0.06147120538097043,0.06902162459655567
