atr_low,lookback,hold_days,n,win_rate,mean_ret,median_ret,p25,p75,mean_mae,mean_mfe
0.015,20,10,8892.0,0.5553306342780027,0.002582098433340164,0.0037640219868143587,-0.015307156292983182,0.021870849650341695,-0.023934591046084162,0.0253749603440862
0.015,20,20,8888.0,0.5626687668766877,0.004655801499081029,0.006934103851045648,-0.022539937520589443,0.03493957608296555,-0.03569453052946426,0.038703583051217634
0.015,50,10,7539.0,0.5513993898395012,0.002161219562083849,0.003441494591936989,-0.015429576039755755,0.021457384521080702,-0.024306277690839352,0.02529541912198463
0.015,50,20,7535.0,0.5570006635700067,0.0035878726937139615,0.00647284664508696,-0.0232553817377531,0.034073688726259155,-0.036600382381110116,0.03822555198785242
0.02,20,10,20157.0,0.5547948603462817,0.0021769427058116087,0.004119236267223547,-0.01823867535080026,0.024362783204297633,-0.027686959279988956,0.02866324097815337
0.02,20,20,20124.0,0.5573444643212085,0.003819102449710665,0.007330618735437611,-0.027763384537140334,0.0385151141377954,-0.04122013332845152,0.04327755339812545
0.02,50,10,16256.0,0.5546875,0.00198586404013745,0.004044336506143664,-0.017920466192474588,0.024097218571688728,-0.027743487889792213,0.028487151962252003
0.02,50,20,16229.0,0.5537001663688459,0.0027429385488399196,0.00690034481400259,-0.028181060622904597,0.03764531177849628,-0.041876069917181256,0.04273051542105565
0.025,20,10,27005.0,0.5475652656915386,0.002182701513494471,0.003933420754451911,-0.02027145747759207,0.02560255039560566,-0.02998987012626838,0.03105699113779496
0.025,20,20,26920.0,0.5518202080237742,0.004467248509214384,0.007090524798138209,-0.03025481818195369,0.0406540583704042,-0.04438926780398539,0.046948651089709824
0.025,50,10,21353.0,0.549196834168501,0.0021851232560179848,0.003912156576810544,-0.019592804402319253,0.025230772622734765,-0.029879463354717518,0.030809862467274515
0.025,50,20,21289.0,0.5517403353844709,0.004117798130530383,0.007004597647285671,-0.02958112410764957,0.04011083929379655,-0.04452318835141757,0.046573320273463406
