hold_days,year,n,win_gross,mean_gross,median_gross,win_net,mean_net,median_net,mean_mae,mean_mfe
20,2015,19.0,0.2631578947368421,-0.033087368899220024,-0.029711290443468208,0.2631578947368421,-0.037636558992980816,-0.030476725535979354,-0.07951120890204753,0.07390913743373403
20,2016,170.0,0.5882352941176471,0.034231291226090456,0.0189637904325326,0.5882352941176471,0.02790775562216236,0.017320018308655816,-0.06271956920458728,0.1105643127745715
20,2017,234.0,0.7051282051282052,0.045453655927902015,0.037716323017058184,0.6965811965811965,0.042506913350231997,0.03578838818153662,-0.043210253673132394,0.09035297152469982
20,2018,677.0,0.6129985228951256,0.010683986874921244,0.017433063795403214,0.6115214180206795,0.009899822366290277,0.01666338343842222,-0.06811526432481747,0.07051721337692861
20,2019,240.0,0.6625,0.03235689825335998,0.02601421510370694,0.6625,0.031565176572176785,0.02536789428159969,-0.04657885152498113,0.07882559376107381
20,2020,693.0,0.6017316017316018,0.011357678099263732,0.022844774218435226,0.6002886002886003,0.010807267884434485,0.02219762388790003,-0.1076503951055208,0.10240850292551995
20,2021,926.0,0.6285097192224622,0.03512501136847611,0.02502743867109347,0.6241900647948164,0.03457820795322946,0.023769495219528092,-0.050725853190252385,0.08810630456915117
20,2022,495.0,0.4383838383838384,-0.0106616978719796,-0.01239922466809218,0.4383838383838384,-0.011104166233286587,-0.013449228221903642,-0.08873031136116247,0.0664895963236083
20,2023,433.0,0.5773672055427251,0.02164194912571398,0.013306490964438256,0.5773672055427251,0.021179101175140914,0.012713291915800617,-0.058761712359157385,0.08033381754264499
20,2024,658.0,0.6428571428571429,0.03147215735255362,0.028861001707527034,0.6428571428571429,0.03111805422860326,0.028588453054894547,-0.05668729656772798,0.08460919125490637
20,2025,588.0,0.5017006802721088,0.0004376362012377569,0.000873396468471177,0.5017006802721088,8.817965509670725e-05,0.0004849193362922444,-0.08257327871709316,0.08153057294294278
