hold_days,sl_k_atr,tp_k_atr,n,win_rate,mean_ret,median_ret,p25,p75,mean_mae,mean_mfe
20,0.0,0.0,5133,0.5883498928501851,0.01791623587175857,0.01754131655638691,-0.035586616746478894,0.07136150582637724,-0.06980876655431272,0.0836750907459913
20,0.0,1.0,5133,0.8053769725306839,0.007228412467944308,0.024649014760916188,0.0202373115754253,0.030589125418659213,-0.04878469201608642,0.037256513651941554
20,0.0,1.5,5133,0.7350477303721021,0.010486534561205097,0.035155047373436554,-0.006356304738464824,0.04426953371653819,-0.05709851630577696,0.04766346680694552
20,0.0,2.0,5133,0.6803039158386909,0.012952726430790517,0.043515258731615214,-0.022143196627960604,0.05646108104629621,-0.061632097600983045,0.05633709174785339
20,0.0,3.0,5133,0.6197155659458407,0.015079910075742128,0.02775194079155785,-0.030668332193142245,0.07514821586197695,-0.06651511787379116,0.06865639014343719
20,1.0,0.0,5133,0.3130722774206117,0.008995776092420842,-0.023930067898364493,-0.03002694107525239,0.036935774779211394,-0.03576568195155652,0.06118525557702789
20,1.0,1.0,5133,0.5392557958308981,0.0018317266610385148,0.020516230687915415,-0.026642151616365628,0.02750156491072353,-0.027313277223807483,0.028729399906116948
20,1.0,1.5,5133,0.4523670368205728,0.0033143811672920217,-0.021664641502206594,-0.028219984377344742,0.03892636835611807,-0.030589287082291434,0.03522374147153028
20,1.0,2.0,5133,0.39664913306058835,0.004683108146885252,-0.02284097618852632,-0.029186886812482493,0.049357291235161194,-0.03252036000396431,0.04084968166851065
20,1.0,3.0,5133,0.3413208649912332,0.006718065795684144,-0.023589259797363704,-0.029745939447492153,0.06270102257023913,-0.03458239167339516,0.04963882168026376
20,1.5,0.0,5133,0.4126241963763881,0.011143064901265693,-0.03228453801146458,-0.041379402900262874,0.05749281039413656,-0.04376534538344615,0.07093750070452552
20,1.5,1.0,5133,0.6456263393726865,0.003244315229210769,0.022686060918311712,-0.036265853639584344,0.029085613136292876,-0.03226207290725504,0.03219697512790278
20,1.5,1.5,5133,0.5579583089811027,0.004795527680817948,0.03118397715493826,-0.038662769565456556,0.04166458754177493,-0.03685912470762748,0.04016735120762761
20,1.5,2.0,5133,0.5014611338398597,0.006442190285248004,0.0016029514925375299,-0.03988312684213002,0.052707421447409475,-0.03951343452562398,0.04721178157093715
20,1.5,3.0,5133,0.4430157802454705,0.008596488636910656,-0.03139764915779575,-0.040805698363374665,0.06963402285959974,-0.04224375585516921,0.057657228432237806
20,2.0,0.0,5133,0.47827781024741867,0.012646277166837397,-0.008219967517031357,-0.05151619779161687,0.06455969432969244,-0.04940033018011852,0.0763370532513038
20,2.0,1.0,5133,0.7032924215858173,0.003599563870120745,0.023506975931147256,-0.043367471538626856,0.02962668482236519,-0.03566031212799906,0.03399543852377817
20,2.0,1.5,5133,0.6240015585427625,0.005871075310501763,0.03309735606868491,-0.04769510193932558,0.04283219328031995,-0.041144876955181486,0.04302800667071195
20,2.0,2.0,5133,0.5698421975452952,0.007843682659447156,0.0401030782555023,-0.04964768815007348,0.05456022306963382,-0.044301575228290764,0.05075983198817588
20,2.0,3.0,5133,0.5104227547243327,0.009901867039206366,0.0036854653227405,-0.050919892143405976,0.07242651261225652,-0.047579614090993864,0.062120770746133876
20,2.5,0.0,5133,0.5236703682057277,0.01405880893207508,0.005806806828186684,-0.06005667422644334,0.06857699177710308,-0.053776502701463065,0.07986416836258964
20,2.5,1.0,5133,0.7457627118644068,0.0046914066293841095,0.02402953447308409,-0.0041021481956929895,0.030082473419660527,-0.03843293957240343,0.03543216495298839
20,2.5,1.5,5133,0.6719267484901617,0.007356627294439392,0.03418611639872493,-0.05340982890268797,0.043569498167323584,-0.04459331313077685,0.04515384316926543
20,2.5,2.0,5133,0.616403662575492,0.00938859556222997,0.04169798177520567,-0.0563714579362804,0.0555503285984742,-0.04802045939938956,0.0533636326630289
20,2.5,3.0,5133,0.5565945840639003,0.011446363268423722,0.01680351311358308,-0.058743857334272676,0.07382352794964442,-0.051635012372945086,0.06518500172068618
