hold_days,atr_bucket,n,win_rate_gross,mean_ret_gross,median_ret_gross,win_rate_net,mean_ret_net,median_ret_net,mean_mae,mean_mfe
5,Q1,1830.0,0.5497267759562842,0.002407014494449367,0.004737964789904625,0.5469945355191257,0.0019470503510678455,0.004360913732882166,-0.028182865213985324,0.028942361662954646
5,Q2,1830.0,0.5519125683060109,0.00414118831121579,0.004913260766496119,0.5459016393442623,0.0035224298299443495,0.004258710874305072,-0.03176342238498284,0.03225744371726874
5,Q3,1832.0,0.6026200873362445,0.008802141974828408,0.009478139566203803,0.5927947598253275,0.007984774018815094,0.008939148376346684,-0.033103043182869225,0.037854999088981864
5,Q4,1830.0,0.5808743169398907,0.009697560390419581,0.010342746778565726,0.5704918032786885,0.008465337268279916,0.009036258037957823,-0.04664353786602432,0.05376309900121932
10,Q1,1828.0,0.5470459518599562,0.0032760982524180837,0.005903118372021843,0.5437636761487965,0.002815548324817455,0.005338464394057718,-0.040541160541229825,0.04181086085780413
10,Q2,1828.0,0.562910284463895,0.005952357982913918,0.009215682559586713,0.5590809628008753,0.005325805933849531,0.008800482161726242,-0.04544594707539487,0.04754020465964875
10,Q3,1827.0,0.615216201423098,0.013624595611223986,0.01555644481352303,0.6119321291735085,0.012796450854506923,0.014831978133599932,-0.04530854608024461,0.05537575040255723
10,Q4,1824.0,0.6041666666666666,0.01893047896563857,0.020312576094066337,0.5997807017543859,0.017679778948156984,0.018550533887956244,-0.06458022040584913,0.0793446818095369
20,Q1,1823.0,0.5633571036752606,0.006924827127374292,0.009677373028344372,0.5633571036752606,0.006462935170000747,0.00933263331302836,-0.0579346841442024,0.060203138054783945
20,Q2,1820.0,0.5714285714285714,0.010680638679145522,0.014408232413182454,0.5686813186813187,0.010052311712326773,0.013697051597539422,-0.06318058155466556,0.06752226422517764
20,Q3,1821.0,0.6183415705656233,0.022626340906874726,0.022319928610023965,0.6177924217462932,0.02179281682544709,0.021886000946546025,-0.06128876439993023,0.08210841130632283
20,Q4,1823.0,0.6110806363137685,0.03441775285880878,0.027820281221034193,0.6088864509051015,0.033148388691824744,0.0267630275733739,-0.08592957052427261,0.11698591595845435
