date,equity,cash,positions,ret1d,strategy,hold_days,max_positions
2016-08-05,139044.26770669947,27610.93469613882,4,0.012671253305082786,TP_v1,5,5
2016-08-08,139320.29636509315,54671.65471756777,3,0.001985185458892369,TP_v1,5,5
2016-08-09,139095.08279915396,111905.47073702284,1,-0.0016165165579967722,TP_v1,5,5
2016-08-10,139133.8375419884,139133.8375419884,0,0.0002786205094713612,TP_v1,5,5
2016-08-11,139133.8375419884,139133.8375419884,0,0.0,TP_v1,5,5
2016-08-12,139006.99220307675,111307.07003359073,1,-0.0009116785762010027,TP_v1,5,5
2016-08-15,138761.22816644123,111307.07003359073,1,-0.0017679976578190981,TP_v1,5,5
2016-08-16,138444.11375916726,111307.07003359073,1,-0.002285324304665215,TP_v1,5,5
2016-08-17,139464.9163622426,55732.907911756396,3,0.007373391149378072,TP_v1,5,5
2016-08-18,140027.72378121596,27285.718800770497,4,0.004035476689431716,TP_v1,5,5
2016-08-19,140542.15794898872,0.0,5,0.003673802257733838,TP_v1,5,5
2016-08-22,140337.71246331034,0.0,5,-0.001454691522187912,TP_v1,5,5
2016-08-23,140163.74094084644,27919.730799485224,4,-0.0012396633763670506,TP_v1,5,5
2016-08-24,139941.83171988337,84444.61097224565,2,-0.0015832141713221226,TP_v1,5,5
2016-08-25,140155.77151461618,112049.11401010124,1,0.0015287765788363217,TP_v1,5,5
2016-08-26,139783.0897291181,84071.33932996314,2,-0.0026590541471865903,TP_v1,5,5
2016-08-29,140103.94784792143,112130.09191185802,1,0.0022954001047272854,TP_v1,5,5
2016-08-30,140068.68811862692,112130.09191185802,1,-0.00025166834936574123,TP_v1,5,5
2016-08-31,140585.12272861553,84106.16779538286,2,0.0036870096873560243,TP_v1,5,5
2016-09-01,141208.67339567316,112644.2040604474,1,0.004435395829623712,TP_v1,5,5
2016-09-02,141174.67025824692,112644.2040604474,1,-0.00024080062937048563,TP_v1,5,5
2016-09-06,141137.1478274075,112644.2040604474,1,-0.00026578727452164497,TP_v1,5,5
2016-09-07,140946.02174730113,140946.02174730113,0,-0.0013541869241971982,TP_v1,5,5
2016-09-08,139203.76828424714,84915.73261808978,2,-0.012361139686351996,TP_v1,5,5
2016-09-09,136546.23813160017,84915.73261808978,2,-0.019090935435170264,TP_v1,5,5
2016-09-12,139718.45763267158,2038.1742210870398,5,0.02323183373249793,TP_v1,5,5
2016-09-13,137654.83790472135,2038.1742210870398,5,-0.014769843318594322,TP_v1,5,5
2016-09-14,141259.57035606098,0.0,5,0.026186747274619337,TP_v1,5,5
2016-09-15,142978.57747839458,0.0,5,0.01216913741136727,TP_v1,5,5
2016-09-16,143043.1464767227,85995.9640283298,2,0.0004515991099287575,TP_v1,5,5
2016-09-19,143885.14623407822,85995.9640283298,2,0.005886334145289052,TP_v1,5,5
2016-09-20,143793.20134736682,143793.20134736682,0,-0.0006390158339334429,TP_v1,5,5
2016-09-21,143793.20134736682,143793.20134736682,0,0.0,TP_v1,5,5
2016-09-22,143793.20134736682,143793.20134736682,0,0.0,TP_v1,5,5
2016-09-23,143793.20134736682,143793.20134736682,0,0.0,TP_v1,5,5
2016-09-26,143793.20134736682,143793.20134736682,0,0.0,TP_v1,5,5
2016-09-27,143793.20134736682,143793.20134736682,0,0.0,TP_v1,5,5
2016-09-28,143793.20134736682,143793.20134736682,0,0.0,TP_v1,5,5
2016-09-29,143793.20134736682,143793.20134736682,0,0.0,TP_v1,5,5
2016-09-30,144068.16668302575,86261.05603582916,2,0.001912227651116094,TP_v1,5,5
2016-10-03,143713.8815913763,28669.424335958553,4,-0.002459149025120455,TP_v1,5,5
2016-10-04,142014.79349847836,161.03600230441225,5,-0.011822713812218777,TP_v1,5,5
2016-10-05,141748.97477316807,161.03600230441225,5,-0.001871767854333739,TP_v1,5,5
2016-10-06,141751.55511109202,29252.72985601807,4,1.820357380410975e-05,TP_v1,5,5
2016-10-07,142585.2043074672,85298.16478567416,2,0.00588105855855936,TP_v1,5,5
2016-10-10,143338.2956379793,85577.95036609493,2,0.005281693385858821,TP_v1,5,5
2016-10-11,143088.50107886596,85577.95036609493,2,-0.0017426924047165837,TP_v1,5,5
2016-10-12,143847.79003507522,86228.16495104818,2,0.005306428891800108,TP_v1,5,5
2016-10-13,143404.6672119553,86228.16495104818,2,-0.003080497955595063,TP_v1,5,5
2016-10-14,144240.21252686743,0.0,5,0.005826486202692216,TP_v1,5,5
2016-10-17,143720.44294188995,0.0,5,-0.0036034998553586828,TP_v1,5,5
2016-10-18,144980.43005125033,29177.08404463627,4,0.008766930323682809,TP_v1,5,5
2016-10-19,145048.60486501374,29177.08404463627,4,0.0004702345946918651,TP_v1,5,5
2016-10-20,144727.323997512,86827.64563155877,2,-0.0022149876436298177,TP_v1,5,5
2016-10-21,144337.16827622458,86827.64563155877,2,-0.002695798626761947,TP_v1,5,5
2016-10-24,144623.87719696248,57882.97688609558,3,0.001986383162161154,TP_v1,5,5
2016-10-25,145244.02152629345,57882.97688609558,3,0.00428798025160404,TP_v1,5,5
