hold_days,n,win_rate_gross,mean_ret_gross,median_ret_gross,win_rate_net,mean_ret_net,median_ret_net,mean_mae,mean_mfe
5,7322.0,0.5712919967222071,0.0062626701374925865,0.006808533661381233,0.5640535372848948,0.0054805820724766205,0.006121076119894986,-0.034922719982511966,0.038204380408229294
10,7307.0,0.5823183248939373,0.010440803039991496,0.011779954046478247,0.5786232379909676,0.00964957275180864,0.01115817806288777,-0.04896092355714598,0.056005192742845385
20,7287.0,0.5910525593522712,0.01866458796518121,0.017481584440736775,0.58968025250446,0.017866250879056092,0.016998021091646054,-0.06708659731884098,0.08171066053859895
