year,n,win_rate,mean_ret,median_ret,mean_mae,mean_mfe,model,atr_low,lookback,hold_days
2015,45.0,0.4666666666666667,-0.012183355844412007,-0.006593534727115213,-0.04382836284497823,0.022841767899005338,VCX_A,0.015,20,20
2016,1121.0,0.512042818911686,0.001740044984860201,0.0010240134554100333,-0.03373309732767124,0.03130165143678644,VCX_A,0.015,20,20
2017,2811.0,0.6581287797936677,0.016816280701516893,0.014961292788575387,-0.024659835715493565,0.041344791149638606,VCX_A,0.015,20,20
2018,938.0,0.44136460554371004,-0.014854646302001857,-0.012063532245332576,-0.06280275221532287,0.042340121942875494,VCX_A,0.015,20,20
2019,1179.0,0.5657336726039016,0.002425917075618419,0.0064807888173223915,-0.03489681826438647,0.03407253856599285,VCX_A,0.015,20,20
2020,469.0,0.4989339019189765,-0.01289322719486516,-0.00022506026998447837,-0.0637260456059038,0.04549514203080697,VCX_A,0.015,20,20
2021,689.0,0.5224963715529753,0.002486041720451703,0.002747505634088654,-0.03420153821185214,0.037499475815694294,VCX_A,0.015,20,20
2022,65.0,0.3230769230769231,-0.012626393396746692,-0.008913837298705651,-0.048554981168015765,0.0225872473187587,VCX_A,0.015,20,20
2023,560.0,0.5571428571428572,0.005018768061130401,0.008304060733389962,-0.03211491789908126,0.03813200357643845,VCX_A,0.015,20,20
2024,829.0,0.5428226779252111,0.006199265733323744,0.005729794124512688,-0.03362371728739079,0.04094639315974773,VCX_A,0.015,20,20
2025,182.0,0.5384615384615384,0.0054198693878722325,0.002398491203298825,-0.030922614053898168,0.04303646490304943,VCX_A,0.015,20,20
2015,45.0,0.28888888888888886,-0.012677619451929568,-0.012871907756339063,-0.03022376808979092,0.013781044741497423,VCX_B,0.015,20,10
2016,1121.0,0.5209634255129348,-0.00023330072642825975,0.0010252728988786597,-0.023875209684539968,0.02088799140699559,VCX_B,0.015,20,10
2017,2811.0,0.6058342226965493,0.007756691129422692,0.006219891690018464,-0.018722499106156067,0.026361222243215812,VCX_B,0.015,20,10
2018,938.0,0.5074626865671642,-0.004099553501316309,0.0004711849967404813,-0.034893117582764546,0.02950299520927671,VCX_B,0.015,20,10
2019,1179.0,0.55470737913486,0.001140540818244272,0.0028731950365341596,-0.023797718267551213,0.021940878225605708,VCX_B,0.015,20,10
2020,469.0,0.5159914712153518,-0.002844874311789423,0.002829559015805172,-0.03364267035775659,0.029931556987020616,VCX_B,0.015,20,10
2021,689.0,0.5544267053701016,0.0024014945072499726,0.004445285434375279,-0.024025454875405597,0.024291671557221912,VCX_B,0.015,20,10
2022,65.0,0.3384615384615385,-0.007998500071532483,-0.006421728914223213,-0.03321161943032237,0.019644439290335537,VCX_B,0.015,20,10
2023,560.0,0.5553571428571429,0.0038007468152340147,0.00457738473397995,-0.022090734996004148,0.024877731447181348,VCX_B,0.015,20,10
2024,829.0,0.5319662243667069,0.0019487430353858277,0.002244537950274683,-0.02413368092686578,0.027166898402833387,VCX_B,0.015,20,10
2025,186.0,0.5913978494623656,0.005076665065370319,0.007242030937508193,-0.023750890794851754,0.029303346607279086,VCX_B,0.015,20,10
