ticker,hold_days,entry_date,entry_price,exit_date,exit_price,shares,pnl,ret,strategy,max_positions
NFLX,5,2015-11-16,10.29699993133545,2015-11-20,12.383999824523926,1942.3133080866342,4053.6076665153632,0.202680383325768,TP_v1,5
NKE,5,2015-11-16,60.900001525878906,2015-11-20,66.32499694824219,333.7525667775859,1810.6061469704,0.08908038237171434,TP_v1,5
NVDA,5,2015-11-16,0.7547500133514404,2015-11-20,0.7847499847412109,27003.556487791357,810.1059220557945,0.039748222403543476,TP_v1,5
CRM,5,2015-11-16,75.54000091552734,2015-11-20,80.98999786376953,270.1785541837537,1472.4722957819467,0.0721471655042294,TP_v1,5
HD,5,2015-11-16,120.05000305175781,2015-11-20,130.2100067138672,157.30316404693332,1598.2007227782342,0.08463143193531653,TP_v1,5
DIS,5,2015-12-01,114.1500015258789,2015-12-07,113.83000183105469,192.28206971021632,-61.530203627437004,-0.002803326242196036,TP_v1,5
LMT,5,2015-12-04,216.0,2015-12-10,218.8800048828125,101.63175688538675,292.69995607872625,0.0133333559389468,TP_v1,5
TMO,5,2015-12-04,133.5800018310547,2015-12-10,135.1300048828125,164.7030929259482,255.29029666916904,0.011603556149955674,TP_v1,5
SBUX,5,2015-12-04,59.86000061035156,2015-12-10,61.869998931884766,369.4621144159252,742.6182298461172,0.033578321099876796,TP_v1,5
AMT,5,2015-12-09,96.29000091552734,2015-12-15,95.61000061035156,229.43415246632145,-156.01529369484342,-0.0070620033099005886,TP_v1,5
NFLX,5,2015-12-14,11.97700023651123,2015-12-18,11.802000045776367,1844.4993238506313,-322.7877334841869,-0.014611354035160229,TP_v1,5
SCHW,5,2015-12-14,32.04999923706055,2015-12-18,31.90999984741211,690.320449572402,-96.64444160196945,-0.004368155787241035,TP_v1,5
NOW,5,2015-12-14,16.694000244140625,2015-12-18,17.145999908447266,1326.9667234619465,599.7885135508841,0.02707557551793416,TP_v1,5
CRM,5,2015-12-14,76.76000213623047,2015-12-18,77.02999877929688,288.6619356067362,77.93775359486972,0.0035174131781188223,TP_v1,5
AVGO,5,2015-12-15,14.267999649047852,2015-12-21,14.579999923706055,1562.3523947502154,487.4543762749672,0.02186713501068982,TP_v1,5
ACN,5,2015-12-18,103.12999725341797,2015-12-24,104.2300033569336,214.65895597580962,236.12616174768118,0.010666208986824799,TP_v1,5
NFLX,5,2015-12-28,11.72599983215332,2016-01-04,10.996000289916992,1906.8724538592314,-1392.0160184203014,-0.06225478020514974,TP_v1,5
NKE,5,2015-12-31,63.150001525878906,2016-01-07,59.849998474121094,352.3380782610992,-1162.7167335121085,-0.05225657912938397,TP_v1,5
NFLX,5,2016-01-05,11.045000076293945,2016-01-11,11.496999740600586,1994.325271321178,901.4343531554223,0.04092346411810133,TP_v1,5
AMZN,5,2016-01-06,31.100000381469727,2016-01-12,30.894500732421875,715.5300845608791,-147.04118126043977,-0.006607705676116127,TP_v1,5
AVGO,5,2016-01-06,13.456999778747559,2016-01-12,12.991999626159668,1659.2992587993642,-771.5744085306796,-0.034554518855106076,TP_v1,5
NOW,5,2016-01-07,15.935999870300293,2016-01-13,15.357999801635742,1363.5280502336732,-788.1193066611049,-0.03627008492524908,TP_v1,5
INTC,5,2016-01-07,32.279998779296875,2016-01-13,31.90999984741211,647.6616214751681,-239.63410816856776,-0.011462173044506696,TP_v1,5
NVDA,5,2016-01-11,0.7415000200271606,2016-01-15,0.6777499914169312,29252.75881877644,-1864.8642116251394,-0.08597441252650861,TP_v1,5
MSFT,5,2016-01-12,52.7599983215332,2016-01-19,50.560001373291016,417.8340198777165,-919.23356860274,-0.041698199739030106,TP_v1,5
NFLX,5,2016-01-14,10.5649995803833,2016-01-21,10.234999656677246,2037.3403594981994,-672.3221631976703,-0.031235204620243096,TP_v1,5
AMZN,5,2016-01-14,29.012500762939453,2016-01-21,28.750999450683594,743.8846282964707,-194.52680646648878,-0.009013401305615898,TP_v1,5
META,5,2016-01-14,95.8499984741211,2016-01-21,94.16000366210938,222.82698465809025,-376.57644804838856,-0.0176316623778352,TP_v1,5
