year,n,win_rate,mean_ret,median_ret,p25,p75,mean_mae,mean_mfe,ret3d_max
2015,63.0,0.6190476190476191,0.013377564911403362,0.004355889759317888,-0.009443587626407901,0.029689471892636488,-0.025246578909735588,0.04267702019034555,-0.05
2016,638.0,0.512539184952978,0.0005748851722307386,0.0010141352317950547,-0.02965493644261044,0.030390638237985546,-0.04127807639917697,0.04265635629424064,-0.05
2017,203.0,0.5467980295566502,0.004193474026888962,0.003371803466714507,-0.019625864550682548,0.02428212416990605,-0.0323427123151401,0.03490068915571371,-0.05
2018,1151.0,0.525629887054735,0.0036989234827976324,0.0038234016745897215,-0.028814471259491214,0.038930307775689954,-0.04233944868163139,0.042525171124198693,-0.05
2019,483.0,0.577639751552795,0.0070123389415557985,0.007015875715437492,-0.020656374647201547,0.029609484863653,-0.029986223723508208,0.03641582208284793,-0.05
2020,2149.0,0.5583992554676593,0.008557295257233179,0.01195937831404148,-0.04378626495418991,0.06573707345386692,-0.07297993877786783,0.08034908602730255,-0.05
2021,699.0,0.6609442060085837,0.013296396435391683,0.013894307752668755,-0.012092629114502873,0.03844549778469308,-0.02993159677808156,0.04002682508635134,-0.05
2022,2199.0,0.495225102319236,0.0010680791714854194,-0.000900068228630535,-0.033513640613686335,0.03470160426668745,-0.04638335961901843,0.043344433946764266,-0.05
2023,717.0,0.5634588563458857,0.007049383406569157,0.0056168374781842,-0.01896546115489417,0.0349803824656203,-0.031643165806074604,0.04075812666083904,-0.05
2024,726.0,0.5661157024793388,0.007192904278963088,0.006999469727438146,-0.022733973325372525,0.033117776412730726,-0.03316045338744549,0.03884478793550715,-0.05
2025,1155.0,0.6121212121212121,0.014436292325197013,0.014183504604972752,-0.020346346188500508,0.04773160517766972,-0.039984068926680015,0.05323491392459385,-0.05
2015,35.0,0.5428571428571428,0.013381339592229527,0.0004672831350658324,-0.011841986320695885,0.021783817700075758,-0.02263503464195489,0.043233263500946986,-0.06
2016,425.0,0.5411764705882353,0.0016344095413856265,0.0038121898755960615,-0.02985597243138216,0.03337612689094471,-0.04291585846101466,0.04587902169138559,-0.06
2017,144.0,0.5347222222222222,0.0032279398183443584,0.0014337602772815927,-0.02322365677295285,0.023971313884725565,-0.0339761044057316,0.035784109327436676,-0.06
2018,749.0,0.5353805073431241,0.005055327292289713,0.004016152516628235,-0.029748313396470327,0.03980972403415817,-0.042594618059832154,0.04541771639730821,-0.06
2019,281.0,0.5871886120996441,0.009605992576556874,0.008220017138599989,-0.021432427505376106,0.033750964052359445,-0.028818245501191823,0.039524374106532145,-0.06
2020,1687.0,0.5566093657379965,0.009137573344974692,0.013827230934559065,-0.0494991277925117,0.07267592933352685,-0.0790065739365484,0.08685052124447523,-0.06
2021,412.0,0.6480582524271845,0.012640562427530219,0.013847572631554006,-0.015004853295441989,0.03871233982540151,-0.0314733654506885,0.03998183499649866,-0.06
2022,1523.0,0.4970453053184504,0.0011877052603758988,-0.000846590667835434,-0.03456253721814512,0.03459205223314965,-0.04826252384290734,0.04461002803339846,-0.06
2023,440.0,0.525,0.003937517189533601,0.003238796115324183,-0.02512156023539658,0.03371637967504404,-0.03542149548995227,0.04093228496489603,-0.06
2024,477.0,0.5618448637316562,0.006100281890640194,0.00698958804109906,-0.024777690181243428,0.0349618875901212,-0.03509965321477701,0.03923362625363635,-0.06
2025,815.0,0.6159509202453988,0.017617946416607258,0.015723225700815524,-0.01969322259192352,0.05246750145100365,-0.041920517252608425,0.05871944545702601,-0.06
2015,17.0,0.6470588235294118,0.02552918547964485,0.011333199497430169,-0.0061449882470598904,0.04409933587073711,-0.022125630122802234,0.054676310965362934,-0.07
2016,278.0,0.5143884892086331,0.0014176746449172798,0.0007635596555667368,-0.029302156365426824,0.03373933227901288,-0.044858763356643065,0.04758488238858906,-0.07
2017,96.0,0.5208333333333334,0.003271418608822923,0.0009457429823306329,-0.02674857216940238,0.031809293262221705,-0.035012703347561625,0.03685626352489705,-0.07
2018,484.0,0.53099173553719,0.004896780882988784,0.004190181824324957,-0.031250608000787106,0.04250630125867971,-0.04462246155008914,0.04687305441848354,-0.07
2019,182.0,0.5164835164835165,0.007288144925359701,0.0028967623110428553,-0.026552772522074247,0.030028212774295016,-0.032664614582303374,0.04011008523876421,-0.07
2020,1311.0,0.5316552250190694,0.0062205710900146175,0.009395962697064553,-0.062476467863604945,0.07754927075752838,-0.08720966249662364,0.09194817940693958,-0.07
2021,247.0,0.6234817813765182,0.013098536883629127,0.011859524157844525,-0.015304579407794061,0.03956449438234322,-0.032963882684544234,0.04135551911557452,-0.07
2022,1018.0,0.5049115913555993,0.0022572953278788845,0.0003359477221377416,-0.03521733205723185,0.038356406483858685,-0.04968990648377686,0.0468499271386758,-0.07
2023,272.0,0.5257352941176471,0.002814424609707602,0.003238796115324183,-0.028222482859714848,0.03205285036740618,-0.03796607704846671,0.0417245858879918,-0.07
2024,330.0,0.5484848484848485,0.00499356354073458,0.005901908233812869,-0.02604070420598187,0.03275318516474773,-0.03575598337465431,0.03882425648443466,-0.07
2025,567.0,0.6384479717813051,0.021333254422824573,0.01835970098762285,-0.018314096360558307,0.056638182647418045,-0.04348993478926971,0.06462494895857128,-0.07
