ret5d_max,hold_days,n,win_rate,mean_ret,median_ret,p25_ret,p75_ret,mean_mae,mean_mfe
-0.1,5,492,0.5873983739837398,0.012055967241727873,0.013465539761301382,-0.02486703010820232,0.04799277916130673,-0.051243823015535345,0.05868022307919679
-0.08,5,1094,0.5776965265082267,0.00999480544330731,0.010691939055394006,-0.02345076582170383,0.042772794917558865,-0.04413780710339071,0.049887446871590774
-0.06,5,2597,0.5841355410088563,0.008734878577816374,0.009398625129238614,-0.02055103596429142,0.037240842123105855,-0.03786938281232998,0.04321702260871166
-0.05,5,4118,0.5764934434191356,0.007480812041703044,0.007237355905650222,-0.01956362545202217,0.03458984208086541,-0.035820307209679034,0.03973816121642531
-0.04,5,6356,0.5742605412208936,0.006449505026408841,0.006451372111528797,-0.0191782405402042,0.03188846860610145,-0.03355375202540142,0.03675804169872056
-0.03,5,10172,0.5649823043649234,0.005142312040110112,0.0054567805533108915,-0.01853715220164026,0.028790442792160253,-0.03155542257818101,0.03381846423464782
-0.02,5,16098,0.5615604422909678,0.004071018210657281,0.004744931537332908,-0.017629298815678762,0.026133528199694833,-0.029310654375758815,0.030875913010070147
-0.1,10,491,0.5621181262729125,0.011747005983553832,0.013859529171188267,-0.04723566775805388,0.07262186331978093,-0.07388869627326693,0.08181935324698819
-0.08,10,1092,0.5604395604395604,0.009796919597052539,0.011207462807246826,-0.042833680996936546,0.06242334007082645,-0.06401749676486569,0.07025114406602963
-0.06,10,2591,0.5746815901196449,0.009834752584023412,0.01133079136668158,-0.03395004214340952,0.05396772472823652,-0.054232664923627785,0.06146266459941445
-0.05,10,4110,0.5802919708029197,0.009681118469854618,0.011428564815723297,-0.028839583748076908,0.05009097330960938,-0.05046319356616588,0.056936058367903074
-0.04,10,6346,0.5814686416640403,0.009973734978317286,0.010999263511311752,-0.026612074324219942,0.04702645196758959,-0.04679012549927993,0.05367942797588206
-0.03,10,10156,0.5707955888144939,0.008306129571133145,0.00903713818374241,-0.02617722506949685,0.042716466878672976,-0.044139148927049995,0.049512433661643464
-0.02,10,16076,0.5641950734013437,0.007091584549681735,0.007783306693656011,-0.025193263363932544,0.0392120978317384,-0.04104868740353376,0.045537567441350166
-0.1,20,490,0.5489795918367347,0.015665873969493135,0.009554170195500533,-0.061964568849990326,0.0852064036347645,-0.10760561158251583,0.11198168196432567
-0.08,20,1090,0.5467889908256881,0.012728352192930427,0.00994978408412206,-0.05450839134017743,0.0794649179494859,-0.09250232525395911,0.09586709238168838
-0.06,20,2587,0.5740239659837649,0.015005458586084326,0.01438609280549863,-0.042625009647701384,0.07162529029785347,-0.07703989221824283,0.0874447019562638
-0.05,20,4105,0.5800243605359318,0.015575088785088146,0.015484303797940635,-0.03838734262648669,0.06945172772755415,-0.07098129269426082,0.08217434358892532
-0.04,20,6333,0.5832938575714511,0.016420072503389057,0.015304326742152208,-0.033562135156822714,0.06719455174139899,-0.06509408355556326,0.07788026891271645
-0.03,20,10133,0.5779137471627356,0.014583262114600093,0.013047721597191364,-0.0322674581719572,0.06328742396173004,-0.061299744464003034,0.07213355666008613
-0.02,20,16032,0.5729166666666666,0.012624011235364994,0.011318700616455124,-0.03130656954940131,0.05784736808794044,-0.05722645647200195,0.06651349604168615
