signal_breakout_date,retest_date,entry_date,exit_date,year,entry_open,exit_close,mae,mfe,net_ret,ticker
2021-01-22,2021-01-25,2021-01-26,2021-02-23,2021,143.60000610351562,125.86000061035156,-0.17555714235620767,0.004874630351600295,-0.12379894678704406,AAPL
2021-11-30,2021-12-02,2021-12-03,2021-12-31,2021,164.02000427246094,177.57000732421875,-0.026216333006642834,0.11041336506898403,0.08235797793152,AAPL
2021-12-10,2021-12-15,2021-12-16,2022-01-13,2021,179.27999877929688,172.19000244140625,-0.06593034441048118,0.020415013872322918,-0.03976573556292695,AAPL
2021-12-27,2022-01-03,2022-01-04,2022-02-01,2022,182.6300048828125,174.61000061035156,-0.15293219727225027,0.0016974076017390871,-0.04412813609083788,AAPL
2023-03-16,2023-03-20,2023-03-21,2023-04-18,2023,157.32000732421875,166.47000122070312,-0.00851774430647001,0.06413676498944154,0.05790004749213007,AAPL
2023-03-21,2023-03-28,2023-03-29,2023-04-26,2023,159.3699951171875,163.75999450683594,-0.00012542520100589094,0.055154726825827005,0.027291546037442327,AAPL
2024-06-13,2024-06-17,2024-06-18,2024-07-17,2024,217.58999633789062,228.8800048828125,-0.0505537946832737,0.09026149970217356,0.05169803195738121,AAPL
2024-06-17,2024-06-18,2024-06-20,2024-07-18,2024,213.92999267578125,224.17999267578125,-0.03431027246850171,0.10891414878450356,0.04772143187437328,AAPL
2024-07-01,2024-07-02,2024-07-03,2024-07-31,2024,220.0,222.0800018310547,-0.024454567649147774,0.07831816239790479,0.009271892696367079,AAPL
2024-07-08,2024-07-11,2024-07-12,2024-08-08,2024,228.9199981689453,213.30999755859375,-0.14380568946470995,0.03630088076648019,-0.06835852509618146,AAPL
2024-07-10,2024-07-12,2024-07-15,2024-08-09,2024,236.47999572753906,216.24000549316406,-0.17117725160219543,0.0031715156188691918,-0.08575048879805769,AAPL
2024-07-15,2024-07-16,2024-07-17,2024-08-13,2024,229.4499969482422,221.27000427246094,-0.1457833837138277,0.00876012112599156,-0.035821644594501434,AAPL
2025-08-12,2025-08-15,2025-08-18,2025-09-15,2025,231.6999969482422,236.6999969482422,-0.034182124614850595,0.04151925119846034,0.021405144421384747,AAPL
2025-08-13,2025-08-15,2025-08-18,2025-09-15,2025,231.6999969482422,236.6999969482422,-0.034182124614850595,0.04151925119846034,0.021405144421384747,AAPL
2025-09-25,2025-10-02,2025-10-03,2025-10-30,2025,254.6699981689453,271.3999938964844,-0.041897350475759376,0.0764519441609921,0.06553062879394256,AAPL
2025-10-20,2025-10-22,2025-10-23,2025-11-19,2025,259.94000244140625,268.55999755859375,-0.0074247620899222655,0.06686160159873888,0.033005058611358606,AAPL
2016-04-21,2016-04-27,2016-04-28,2016-05-25,2016,58.560001373291016,61.220001220703125,-0.017588841698079616,0.09067618569106828,0.044725158518119645,ABBV
2016-05-02,2016-05-03,2016-05-04,2016-06-01,2016,61.29999923706055,62.83000183105469,-0.045676986491179794,0.04192495476036573,0.024298803205033526,ABBV
2016-05-03,2016-05-04,2016-05-05,2016-06-02,2016,61.40999984741211,65.08999633789062,-0.04738641678297839,0.06090216068652876,0.059254378960117426,ABBV
2016-05-05,2016-05-06,2016-05-09,2016-06-06,2016,62.36000061035156,62.81999969482422,-0.0618986621643941,0.0482681543741168,0.006732912477768638,ABBV
2016-05-06,2016-05-09,2016-05-10,2016-06-07,2016,63.5099983215332,63.099998474121094,-0.07888519058320542,0.02928679694860259,-0.007083265532837113,ABBV
2017-10-02,2017-10-03,2017-10-04,2017-10-31,2017,89.5199966430664,90.25,-0.04781053328634566,0.0976318791432953,0.007706090940388988,ABBV
2017-12-13,2017-12-15,2017-12-18,2018-01-17,2017,97.66999816894531,104.36000061035156,-0.009829006885124447,0.0734104464355878,0.06807250042021429,ABBV
2017-12-15,2017-12-20,2017-12-21,2018-01-22,2017,97.81999969482422,106.48999786376953,-0.011347379000352764,0.08914333723070444,0.08820521459386166,ABBV
2019-11-12,2019-11-13,2019-11-14,2019-12-12,2019,86.4800033569336,88.7300033569336,-0.013529206208640066,0.04544403506733552,0.02554913195645403,ABBV
2019-11-13,2019-11-14,2019-11-15,2019-12-13,2019,88.0999984741211,87.83999633789062,-0.03166856939670537,0.02622026365490604,-0.0034044727805864206,ABBV
2019-11-14,2019-11-20,2019-11-21,2019-12-19,2019,86.79000091552734,88.7699966430664,-0.01705269433484713,0.03905979207153054,0.022347606348107618,ABBV
2020-06-30,2020-07-01,2020-07-02,2020-07-30,2020,99.44999694824219,96.04000091552734,-0.04062336259532906,0.018401225612979077,-0.03468378544849049,ABBV
2020-07-01,2020-07-02,2020-07-06,2020-07-31,2020,99.63999938964844,94.91000366210938,-0.06111999573660487,0.016459247287177403,-0.0478626907159555,ABBV
2020-07-07,2020-07-08,2020-07-09,2020-08-05,2020,99.08000183105469,93.25,-0.060052527933763145,0.022204248158911977,-0.059233115263325975,ABBV
2020-07-15,2020-07-16,2020-07-17,2020-08-13,2020,100.29000091552734,94.68000030517578,-0.0848539441474161,0.009871351627600333,-0.056325396857582644,ABBV
2020-11-25,2020-11-30,2020-12-01,2020-12-29,2020,105.05000305175781,104.69999694824219,-0.03331746690455173,0.03902901813435489,-0.0037118691556856653,ABBV
2020-11-27,2020-11-30,2020-12-01,2020-12-29,2020,105.05000305175781,104.69999694824219,-0.03331746690455173,0.03902901813435489,-0.0037118691556856653,ABBV
2020-12-04,2020-12-07,2020-12-08,2021-01-06,2020,105.69999694824219,105.58000183105469,-0.039262005830676516,0.032639590134766694,-0.0015133855638098659,ABBV
2020-12-08,2020-12-10,2020-12-11,2021-01-11,2020,107.01000213623047,109.0199966430664,-0.05102325927927498,0.023829505386954164,0.018406002686316647,ABBV
2021-01-13,2021-01-14,2021-01-15,2021-02-12,2021,111.19999694824219,104.44000244140625,-0.08444244287181946,0.017086345126099856,-0.061140035006478244,ABBV
2022-01-28,2022-02-02,2022-02-03,2022-03-03,2022,139.5,150.41000366210938,-0.0032975391675067467,0.08422939068100366,0.07791000331213693,ABBV
2022-02-07,2022-02-14,2022-02-15,2022-03-15,2022,143.35000610351562,155.8800048828125,-0.014649501319163982,0.09124510649005724,0.08711723685272688,ABBV
2022-02-08,2022-02-10,2022-02-11,2022-03-11,2022,142.86000061035156,149.05999755859375,-0.023939508290170775,0.05872882090020437,0.043113080360638545,ABBV
2022-02-25,2022-02-28,2022-03-01,2022-03-28,2022,147.6699981689453,161.97000122070312,-0.00988685225964303,0.09724385987953132,0.09655361384354211,ABBV
2022-03-02,2022-03-03,2022-03-04,2022-03-31,2022,148.60000610351562,162.11000061035156,-0.015074060573077364,0.10807534925271978,0.09063379056419829,ABBV
2022-03-03,2022-03-04,2022-03-07,2022-04-01,2022,149.0,162.67999267578125,-0.01771811670904988,0.10510069571885494,0.09153128892619256,ABBV
2022-11-22,2022-11-30,2022-12-01,2022-12-29,2022,161.0,162.55999755859375,-0.006335430263732511,0.04192546583850931,0.009439805978100457,ABBV
2022-12-01,2022-12-02,2022-12-05,2023-01-03,2022,162.88999938964844,162.3800048828125,-0.01884702607239852,0.02983608956082051,-0.0033760635252381155,ABBV
2022-12-02,2022-12-06,2022-12-07,2023-01-05,2022,163.69000244140625,163.49000549316406,-0.023642220413386483,0.024802965960288637,-0.0014659883004284335,ABBV
2022-12-05,2022-12-06,2022-12-07,2023-01-05,2022,163.69000244140625,163.49000549316406,-0.023642220413386483,0.024802965960288637,-0.0014659883004284335,ABBV
2024-07-30,2024-07-31,2024-08-01,2024-08-28,2024,187.77000427246094,195.39999389648438,-0.025190450437785117,0.056079238108859286,0.04041743144651755,ABBV
2024-08-01,2024-08-02,2024-08-05,2024-08-30,2024,187.4499969482422,196.30999755859375,-0.023526293592456282,0.057882135396947865,0.04704753162601594,ABBV
2024-08-08,2024-08-09,2024-08-12,2024-09-09,2024,190.0800018310547,196.4199981689453,-0.012521069338624513,0.05192547886210597,0.03314043281014545,ABBV
2024-08-15,2024-08-16,2024-08-19,2024-09-16,2024,193.39999389648438,195.72999572753906,-0.011013390337351825,0.03386764869942893,0.011839530055410163,ABBV
2024-08-16,2024-08-19,2024-08-20,2024-09-17,2024,197.1199951171875,193.4499969482422,-0.02967730818605563,0.014356746657650188,-0.0188191044985061,ABBV
2025-02-24,2025-02-25,2025-02-26,2025-03-25,2025,203.58999633789062,201.33999633789062,-0.02067877366671278,0.07402135466031257,-0.011246992000332634,ABBV
