date,ret
2015-10-16,0.0
2015-10-19,0.0
2015-10-20,0.0
2015-10-21,0.0
2015-10-22,0.0
2015-10-23,0.003016263605044228
2015-10-26,0.0015518680973535617
2015-10-27,-0.0036854452295176023
2015-10-28,0.0016828971096281352
2015-10-29,-0.006095923462083241
2015-10-30,0.0037149320779133396
2015-11-02,0.007721943487158291
2015-11-03,0.006492901463712616
2015-11-04,0.001237418880718448
2015-11-05,0.006810231090983285
2015-11-06,0.016121734668168828
2015-11-09,-0.01479916483521051
2015-11-10,-0.03325415071422498
2015-11-11,0.026617777136232423
2015-11-12,-0.014337190529378992
2015-11-13,-0.018963927656395044
2015-11-16,0.06392044413843313
2015-11-17,0.02646224849404207
2015-11-18,-0.04142313046293429
2015-11-19,0.013642259721829395
2015-11-20,0.11362537347702042
2015-11-23,-0.028409371792779692
2015-11-24,0.03949609829953182
2015-11-25,0.011464008961012108
2015-11-27,-0.0015208370557936238
2015-11-30,-0.011760855959175602
2015-12-01,0.029754119824812037
2015-12-02,0.026457288510563427
2015-12-03,-0.03806305388681009
2015-12-04,0.05006605383593847
2015-12-07,0.0019741798655219175
2015-12-08,0.002023871767805165
2015-12-09,-0.023770185688780258
2015-12-10,0.0026937938661642153
2015-12-11,-0.04186829059048924
2015-12-14,0.003261177244625841
2015-12-15,0.07623886073028849
2015-12-16,0.04016150345350915
2015-12-17,-0.02825562740635479
2015-12-18,-0.05226771482690242
2015-12-21,0.06229329593022978
2015-12-22,0.03315433365278076
2015-12-23,0.0822451899268689
2015-12-24,-0.010126916991426349
2015-12-28,-0.011592087186468125
2015-12-29,0.04317900424160541
2015-12-30,-0.044661833387806424
2015-12-31,-0.04216576896337657
2016-01-04,-0.07275315843883734
2016-01-05,-0.05140941846018461
2016-01-06,0.1131084400895994
2016-01-07,-0.17086847817068776
2016-01-08,-0.14373121982585554
2016-01-11,0.18135919311695842
2016-01-12,0.08015035419543493
2016-01-13,-0.36503328526301887
2016-01-14,0.04310684528602372
2016-01-15,-0.28784544868250417
2016-01-19,0.12729021226448406
2016-01-20,-0.04451980615303298
2016-01-21,0.00851155748665523
2016-01-22,-0.017990466507079753
2016-01-25,-0.07014575978924133
2016-01-26,-0.009263979119441837
2016-01-27,-0.32057390914828443
2016-01-28,0.16988883277814265
2016-01-29,0.07624476022306256
2016-02-01,0.1264745933320746
2016-02-02,-0.22139467341988264
2016-02-03,-0.03586514865475708
2016-02-04,-0.02393957293756971
2016-02-05,-0.343035016929322
2016-02-08,-0.3331784913670133
2016-02-09,0.1444854225327545
2016-02-10,0.11733098755613983
2016-02-11,-0.029356749762116094
2016-02-12,0.14845215728097771
2016-02-16,0.2165575761416764
2016-02-17,0.20209323902392845
2016-02-18,-0.04255787345446103
2016-02-19,0.0023659298988771096
2016-02-22,0.09653134194334542
2016-02-23,-0.03046114642213025
2016-02-24,0.0073484615386180275
2016-02-25,0.036641836964396185
2016-02-26,0.011167411018237402
2016-02-29,-0.012014586790220286
2016-03-01,0.04492222518075429
2016-03-02,0.004039710980937509
2016-03-03,-0.007543241246734493
2016-03-04,-0.004265322148215637
2016-03-07,-0.006622294643710624
2016-03-08,-0.008036994508961438
2016-03-09,-0.00295362738097975
2016-03-10,0.005631522059490636
2016-03-11,0.04869765385192661
2016-03-14,0.04129168391092701
2016-03-15,-0.03286316810404247
2016-03-16,0.027879939143345984
