model,min_above_sma200,hold_days,qqq_dd_gate,n,win_rate,mean_ret,median_ret,p25,p75,mean_mae,mean_mfe
TP_v3,0.0,20,,5150.0,0.5893203883495146,0.018040426334377756,0.01776538676592887,-0.03552081205663035,0.07140590046019468,-0.06967269880477378,0.08366557815421748
TP_v3,0.0,20,-0.1,3894.0,0.5919363122752953,0.018042886351584922,0.017143776413230283,-0.03307783516834972,0.07202437809526507,-0.06655284125032854,0.0820016217510138
TP_v3,0.0,20,-0.2,4699.0,0.5877846350287295,0.017051381488032664,0.017219133912574458,-0.03529567684163937,0.07150047705750595,-0.06959772019953722,0.08313051811851736
TP_v3,0.0,20,-0.15,4519.0,0.585970347421996,0.016914452567904147,0.016952390918917537,-0.03550636997260487,0.0719671166269884,-0.06948133122505734,0.08335866467756742
TP_v3,0.0,20,-0.25,4860.0,0.5876543209876544,0.017322633787204996,0.017215247902666264,-0.03550267515826752,0.07142854402770726,-0.06966805584409895,0.08317166506809433
TP_v3,0.02,20,-0.15,4000.0,0.59575,0.01910924079381513,0.018823595497283296,-0.033765424746205364,0.07380230605125704,-0.06863453953050658,0.08526261691453249
TP_v3,0.02,20,-0.1,3495.0,0.5982832618025751,0.019569643648406087,0.018619034032488102,-0.03211095515933049,0.07333316185996486,-0.06645256705642255,0.08385966474354264
TP_v3,0.02,20,-0.2,4127.0,0.5968015507632662,0.01897353292898997,0.019060494511579984,-0.03389632413284421,0.0733994994112721,-0.06882612961975695,0.08495587862602999
TP_v3,0.02,20,-0.25,4269.0,0.5973295853829936,0.01940787245973825,0.01923654009479092,-0.033925944632153704,0.07342518160787148,-0.06884730989699432,0.0850788728016745
TP_v3,0.02,20,,4517.0,0.5981846358202346,0.019774217096068223,0.019437339453145075,-0.0344519510028618,0.07337521419831416,-0.06902286866170232,0.08537840435282883
TP_v3,0.03,20,-0.2,3887.0,0.5996912786210445,0.01959307152102869,0.01970655102353347,-0.03285962756234412,0.07427784769515389,-0.06891574456737323,0.08587640566227417
TP_v3,0.03,20,-0.15,3773.0,0.5981977206467003,0.019617717553601317,0.01942543222870441,-0.03285775010247871,0.07472940868866806,-0.06871331117348488,0.08609513484516358
TP_v3,0.03,20,,4235.0,0.6007083825265643,0.02042173461263123,0.019827131862285574,-0.03358745021140863,0.0744486488590026,-0.06920733870578691,0.08638351952148025
TP_v3,0.03,20,-0.25,4012.0,0.6006979062811565,0.02014982039860479,0.019860124605735163,-0.03280461200987003,0.07490403472219598,-0.06889991170184852,0.08612893594774293
TP_v3,0.03,20,-0.1,3304.0,0.6004842615012107,0.020254870675797156,0.01892006195160245,-0.0309535462330566,0.07408213813412112,-0.06652104141631603,0.08495003733323175
TP_v3,0.05,20,-0.1,2902.0,0.6082012405237767,0.022232890907393506,0.02034618383794251,-0.030311988813325336,0.07661000268500306,-0.06605547564326111,0.0869377140188881
TP_v3,0.05,20,-0.2,3378.0,0.6092362344582594,0.02191180419130423,0.021716881185712467,-0.031357888758935276,0.07673444268484286,-0.06813289052486499,0.08784503943173001
TP_v3,0.05,20,-0.15,3288.0,0.6082725060827251,0.021975579230409745,0.02129753947686297,-0.031415231408803146,0.07686511189436585,-0.06797990990171991,0.08815725714179214
TP_v3,0.05,20,,3641.0,0.6099972535017852,0.022362038192313683,0.021716137274057967,-0.03207897787348968,0.07643530860372927,-0.06867152116083332,0.08819378977684128
TP_v3,0.05,20,-0.25,3469.0,0.6108388584606514,0.022457443925246526,0.021855051812206927,-0.0312627938850385,0.07675725473759276,-0.0681242611069924,0.08812650450505896
