year,n,win_rate,mean_ret,median_ret,p25,p75,mean_mae,mean_mfe
2015,16.0,0.25,-0.03366221655354209,-0.030200446499890232,-0.06781471082010485,-0.009344695890166205,-0.08213675048385864,0.07229383944248302
2016,51.0,0.6862745098039216,0.07812788046562032,0.028790249649114585,-0.010598511111546416,0.12363742837638914,-0.05106022950204425,0.14504423417325193
2017,212.0,0.7216981132075472,0.04570480901865457,0.03985520886552596,-0.00606690010526495,0.08367868932837452,-0.04489141811548183,0.0914259430747492
2018,431.0,0.6821345707656613,0.02121447351063052,0.02785215899388449,-0.016642061310663647,0.07366006832375582,-0.06272233340168935,0.07777499096100916
2019,171.0,0.6549707602339181,0.031121239068963826,0.02175584495190841,-0.016035940397729598,0.0681344078505296,-0.04736782520457094,0.07810195627534394
2020,577.0,0.6013864818024264,0.004972068135166598,0.02209134196099316,-0.04572337857523712,0.0756420825917965,-0.09841984609276598,0.09335150841197723
2021,804.0,0.6181592039800995,0.0342956071209114,0.023724506131766243,-0.023682511647211052,0.0877382634863591,-0.05243660044949502,0.0893288078060155
2022,80.0,0.2,-0.0435827049415787,-0.04852458518839031,-0.0777852555769653,-0.019780853685187644,-0.1298519384117863,0.04179195665914558
2023,275.0,0.6618181818181819,0.03511489437368976,0.03309966125593489,-0.02157402962546101,0.07955021203621326,-0.052384203757220776,0.09343127035631352
2024,549.0,0.6357012750455373,0.02949159943401757,0.026490090706768887,-0.020422000893307812,0.07630864985792796,-0.05774449121092223,0.08395165942526953
2025,373.0,0.517426273458445,0.0038364212425280853,0.0059922899710540545,-0.06134144834000588,0.06253022148372156,-0.08157330877153009,0.08373011987586092
