year,n,win_rate,mean_ret,median_ret,p25,p75,mean_mae,mean_mfe
2015,15.0,0.26666666666666666,-0.03446807494841589,-0.030476725535979354,-0.08170978677722146,-9.588458461384786e-06,-0.08508581201242592,0.07423684850504829
2016,47.0,0.6595744680851063,0.0805233223911483,0.028790249649114585,-0.015058204347550397,0.13732598110915972,-0.054495732282739406,0.14989810028291753
2017,194.0,0.7422680412371134,0.048929988884532816,0.04266794933480622,-0.00229176714678081,0.08529951110965767,-0.04539407949125534,0.09464740058579997
2018,370.0,0.6837837837837838,0.021592752090564257,0.02834975557681496,-0.018714206113149168,0.0738936464532472,-0.06400475157371244,0.07972661708273247
2019,124.0,0.7096774193548387,0.03546559298281695,0.028242381498402858,-0.005436886730264878,0.06938422115194137,-0.04546215043155405,0.07954796273619358
2020,515.0,0.6213592233009708,0.01067063975163109,0.026723951322260353,-0.03564510982223035,0.07808670867390244,-0.09355333034389565,0.09652760250429863
2021,730.0,0.6164383561643836,0.03368780668681579,0.023769495219528092,-0.02470085283876078,0.08643308765191021,-0.05311724498781895,0.089604645338599
2022,64.0,0.125,-0.05165620885866917,-0.0530496105479531,-0.0783349731102059,-0.0332002301120064,-0.1378960686163846,0.03369166771814026
2023,249.0,0.6867469879518072,0.036527239157626776,0.03468120219683746,-0.017081129007991414,0.07978053090244508,-0.051184737184127645,0.09450213358193518
2024,486.0,0.6399176954732511,0.03080685749997503,0.026674262420997463,-0.020231352455319623,0.07682271912252442,-0.058138563505924404,0.08568787426600638
2025,325.0,0.5323076923076923,0.007071356011718044,0.008689165033311186,-0.057858502851042326,0.07002254988169443,-0.08100520618056703,0.08653999211062466
