date,drawdown
2015-10-16,0.0
2015-10-19,0.0
2015-10-20,0.0
2015-10-21,0.0
2015-10-22,0.0
2015-10-23,0.0
2015-10-26,0.0
2015-10-27,0.0
2015-10-28,0.0
2015-10-29,0.0
2015-10-30,0.0
2015-11-02,0.0
2015-11-03,0.0
2015-11-04,0.0
2015-11-05,0.0
2015-11-06,0.0
2015-11-09,-0.009377910353314811
2015-11-10,-0.03036572804204163
2015-11-11,-0.01936128526844605
2015-11-12,-0.021883443947865122
2015-11-13,-0.020134649384381142
2015-11-16,-0.001894597218006
2015-11-17,0.0
2015-11-18,-0.017574315643296368
2015-11-19,-0.012680064331374807
2015-11-20,0.0
2015-11-23,-0.00012153982675910946
2015-11-24,0.0
2015-11-25,0.0
2015-11-27,0.0
2015-11-30,-0.0030661781784556696
2015-12-01,0.0
2015-12-02,-0.006053711092340985
2015-12-03,-0.021612606173978866
2015-12-04,-0.004562225756970073
2015-12-07,0.0
2015-12-08,0.0
2015-12-09,-0.012119810389256469
2015-12-10,-0.009475074594835986
2015-12-11,-0.027850791323905333
2015-12-14,-0.026070233350764194
2015-12-15,0.0
2015-12-16,0.0
2015-12-17,-0.004391878547769457
2015-12-18,-0.02740980879577304
2015-12-21,-0.022668465621214495
2015-12-22,-0.022671955054849646
2015-12-23,-0.012862121353861222
2015-12-24,-0.013563270607677924
2015-12-28,-0.01463680970020842
2015-12-29,-0.004100483071598049
2015-12-30,-0.0162118462905676
2015-12-31,-0.028572778642169117
2016-01-04,-0.05149769178309338
2016-01-05,-0.07121362175777601
2016-01-06,-0.03424429493297387
2016-01-07,-0.07002554994360388
2016-01-08,-0.09238037847698388
2016-01-11,-0.06232062906074054
2016-01-12,-0.0514234311031565
2016-01-13,-0.12229921835142532
2016-01-14,-0.11686416899442975
2016-01-15,-0.1506834851281148
2016-01-19,-0.15985005726247403
2016-01-20,-0.1734941010458525
2016-01-21,-0.16799501427784447
2016-01-22,-0.15747060478432595
2016-01-25,-0.17226129268157575
2016-01-26,-0.16263085241028075
2016-01-27,-0.16714061699718186
2016-01-28,-0.1623083973595978
2016-01-29,-0.1430929839418157
2016-02-01,-0.147556918425098
2016-02-02,-0.17571259981857268
2016-02-03,-0.17277874552941708
2016-02-04,-0.17361824337064835
2016-02-05,-0.21568378547337996
2016-02-08,-0.24519298068703377
2016-02-09,-0.24486553381859222
2016-02-10,-0.24305455871217063
2016-02-11,-0.24969156894268385
2016-02-12,-0.22919958813287078
2016-02-16,-0.2127004197282112
2016-02-17,-0.1830732481477484
2016-02-18,-0.19063455242261362
2016-02-19,-0.19435752723151967
2016-02-22,-0.18856841539023617
2016-02-23,-0.18877614597115933
2016-02-24,-0.18878934095433897
2016-02-25,-0.18878934095433897
2016-02-26,-0.18878934095433897
2016-02-29,-0.18878934095433897
2016-03-01,-0.18878934095433897
2016-03-02,-0.18878934095433897
2016-03-03,-0.18878934095433897
2016-03-04,-0.18878934095433897
2016-03-07,-0.18878934095433897
2016-03-08,-0.18878934095433897
2016-03-09,-0.18878934095433897
2016-03-10,-0.18878934095433897
2016-03-11,-0.15929076836812128
2016-03-14,-0.13119688556813647
2016-03-15,-0.1635048457645426
2016-03-16,-0.1438391177574001
2016-03-17,-0.11995934584434664
2016-03-18,-0.10169831030267795
2016-03-21,-0.11995934584434664
2016-03-22,-0.12136403830982034
2016-03-23,-0.13681565543003138
2016-03-24,-0.11170168703839145
2016-03-28,-0.11910700601989566
2016-03-29,-0.11963889044271159
2016-03-30,-0.11556117749884276
2016-03-31,-0.11387692754988255
2016-04-01,-0.11822056579739582
2016-04-04,-0.12424845399386952
2016-04-05,-0.12478030460115852
2016-04-06,-0.10962195361393523
2016-04-07,-0.11352233793467192
2016-04-08,-0.10165348274214059
2016-04-11,-0.10347061951055392
2016-04-12,-0.08839863281362814
2016-04-13,-0.09067396169604025
2016-04-14,-0.10514835028950531
2016-04-15,-0.11299839024232339
2016-04-18,-0.09865352453675791
2016-04-19,-0.11981823437613826
2016-04-20,-0.10382611178726708
2016-04-21,-0.11602393982548775
2016-04-22,0.0
2016-04-25,-0.0934003487115278
2016-04-26,-0.06147010372258588
2016-04-27,-0.049159180987448536
2016-04-28,-0.046948497841847625
2016-04-29,-0.05472058928845669
2016-05-02,-0.01946276128035962
2016-05-03,-0.046629335791827375
2016-05-04,-0.04480758828987175
2016-05-05,-0.035300455420226196
2016-05-06,-0.030442443271981978
2016-05-09,-0.043969890090329034
2016-05-10,-0.044382807310325734
2016-05-11,-0.04389808286635133
2016-05-12,-0.04691419173041578
2016-05-13,-0.04632175645047509
2016-05-16,-0.03965880270590649
2016-05-17,-0.05255294918763587
2016-05-18,-0.05743346851292419
2016-05-19,-0.05229066582442243
2016-05-20,-0.03777463013773752
2016-05-23,-0.04691330346233247
2016-05-24,-0.04311736929608334
2016-05-25,-0.0430577212603559
2016-05-26,-0.043023660073810976
2016-05-27,-0.04243376430899548
2016-05-31,-0.04294405983141725
2016-06-01,-0.04294405983141725
2016-06-02,-0.04294405983141725
2016-06-03,-0.04294405983141725
2016-06-06,0.0
2016-06-07,0.0
2016-06-08,-0.011086516230013665
2016-06-09,0.0
2016-06-10,-0.0442477455993574
2016-06-13,-0.026548647359614375
2016-06-14,-0.02876108738705574
2016-06-15,-0.022123872799678757
2016-06-16,0.0
2016-06-17,0.0
2016-06-20,-0.0319392237526539
2016-06-21,0.0
2016-06-22,-0.048660864660172054
2016-06-23,-0.026363467021232823
2016-06-24,-0.07001806944775013
2016-06-27,-0.0777245103101456
