signal_date,entry_date,strategy,ticker,side,shares,entry_fill_est,planned_exit_date
2015-10-29,2015-10-30,MR_1A,TMUS,BUY,0.01069518686032909,37.40000106811524,2015-11-13
2015-11-05,2015-11-06,MR_1A,QCOM,BUY,0.00791340277988546,51.65000106811524,2015-11-20
2015-11-10,2015-11-11,MR_1A,AMD,BUY,0.09376114693864794,2.0399999809265137,2015-11-25
2015-11-13,2015-11-16,TP_v2,NFLX,BUY,0.002791911818947645,10.316999931335449,2015-12-15
2015-11-13,2015-11-16,TP_v2,NVDA,BUY,0.05652079240631422,0.7747500133514404,2015-12-15
2015-11-13,2015-11-16,TP_v2,CRM,BUY,0.0007534632082435807,75.56000091552734,2015-12-15
2015-11-13,2015-11-16,TP_v2,BAC,BUY,0.0033417711965719778,17.1499991607666,2015-12-15
2015-11-13,2015-11-16,TP_v2,GM,BUY,0.0017915977754924895,34.33000137329102,2015-12-15
2015-11-13,2015-11-16,MR_1A,TJX,BUY,0.003239277658713497,31.925000686645507,2015-12-01
2015-11-13,2015-11-16,MR_1A,NFLX,BUY,0.006023801178163347,10.316999931335449,2015-12-01
2015-11-17,2015-11-18,TP_v2,NKE,BUY,2.2550841248919234e-19,61.540000457763675,2015-12-17
2015-11-30,2015-12-01,MR_1A,TMUS,BUY,0.011870893465313788,35.880000610351566,2015-12-15
2015-12-09,2015-12-10,MR_1A,QCOM,BUY,0.007763028080443891,48.67000152587891,2015-12-24
2015-12-15,2015-12-16,TP_v2,NFLX,BUY,0.05411613833363011,11.999999542236328,2016-01-15
2015-12-17,2015-12-18,TP_v2,AVGO,BUY,0.004283164508336874,14.042999763488769,2016-01-20
2016-01-04,2016-01-05,MR_1A,AMZN,BUY,0.007781027240830503,32.362998504638675,2016-01-20
2016-01-04,2016-01-05,MR_1A,AMD,BUY,0.047557492060645995,2.7899999809265137,2016-01-20
2016-01-15,2016-01-19,MR_1A,NFLX,BUY,0.00323687417379732,10.676999588012695,2016-02-02
2016-01-15,2016-01-19,MR_1A,NVDA,BUY,0.0731765646206613,0.7117499899864197,2016-02-02
2016-01-15,2016-01-19,MR_1A,C,BUY,0.001295550539241759,42.8699984741211,2016-02-02
2016-01-15,2016-01-19,MR_1A,INTC,BUY,0.0020880228993830764,29.999999542236328,2016-02-02
2016-01-15,2016-01-19,MR_1A,MS,BUY,0.001817018095021538,26.849999923706054,2016-02-02
2016-01-15,2016-01-19,MR_1A,SCHW,BUY,0.0017871599988454067,28.069999237060546,2016-02-02
2016-01-15,2016-01-19,MR_1A,DIS,BUY,0.0007251345067026991,95.02,2016-02-02
2016-01-20,2016-01-21,MR_1A,AMD,BUY,0.017370615662390152,1.8400000524520874,2016-02-04
2016-01-20,2016-01-21,MR_1A,COP,BUY,0.0013473979288240643,34.88999893188477,2016-02-04
2016-01-20,2016-01-21,MR_1A,BAC,BUY,0.006042504472470726,13.690000076293945,2016-02-04
2016-01-20,2016-01-21,MR_1A,IBM,BUY,0.0010878665747671955,115.98558380126953,2016-02-04
2016-01-20,2016-01-21,MR_1A,CVX,BUY,0.0009489800056413669,78.82000305175781,2016-02-04
2016-02-02,2016-02-03,MR_1A,AMZN,BUY,0.007791643634217436,27.694999237060546,2016-02-18
2016-02-02,2016-02-03,MR_1A,NOW,BUY,0.012650159580947545,11.533999938964843,2016-02-18
2016-02-03,2016-02-04,MR_1A,TSLA,BUY,0.005799432048533082,11.400000114440918,2016-02-19
2016-02-03,2016-02-04,MR_1A,MDLZ,BUY,0.0027584993347344435,39.029998321533206,2016-02-19
2016-02-04,2016-02-05,MR_1A,MET,BUY,0.006771474588420075,35.626060028076175,2016-02-22
2016-02-04,2016-02-05,MR_1A,COP,BUY,0.003565644656317507,34.040000457763675,2016-02-22
2016-02-05,2016-02-08,MR_1A,GOOG,BUY,8.126712197586123e-05,33.41250183105469,2016-02-23
2016-02-05,2016-02-08,MR_1A,SBUX,BUY,5.3729874009302906e-05,53.110000152587894,2016-02-23
2016-02-05,2016-02-08,MR_1A,ADBE,BUY,3.2554540989999374e-05,77.4200015258789,2016-02-23
2016-02-05,2016-02-08,MR_1A,GOOGL,BUY,7.789845512732643e-05,34.40399887084961,2016-02-23
2016-02-05,2016-02-08,MR_1A,NFLX,BUY,0.0001633820902472443,8.077000160217285,2016-02-23
2016-02-08,2016-02-09,MR_1A,CRM,BUY,3.6187064015115357e-05,53.630000610351566,2016-02-24
2016-03-10,2016-03-11,MR_1A,AMD,BUY,0.15409456667003382,2.3099999618530274,2016-03-28
2016-03-23,2016-03-24,MR_1A,COP,BUY,0.009724375930555152,38.950000305175784,2016-04-08
2016-04-07,2016-04-08,TP_v2,AMD,BUY,0.213409635535289,2.720000047683716,2016-05-06
2016-04-08,2016-04-11,TP_v2,META,BUY,0.0036194141861658896,110.71999694824218,2016-05-09
2016-05-06,2016-05-09,MR_1A,TSLA,BUY,0.03370696432308283,14.401333351135253,2016-05-23
2016-05-13,2016-05-16,MR_1A,SPG,BUY,0.0012048029717825002,196.54999877929689,2016-05-31
2016-05-13,2016-05-16,MR_1A,TGT,BUY,0.003271319189297733,73.57000305175781,2016-05-31
2016-06-03,2016-06-06,TP_v2,AMD,BUY,0.17031970642685468,4.219999809265136,2016-07-05
2016-06-03,2016-06-06,MR_1A,AMD,BUY,0.11354647095123646,4.219999809265136,2016-06-20
2016-06-22,2016-06-23,MR_1A,TSLA,BUY,0.04383349262064695,13.065999526977539,2016-07-08
2016-06-24,2016-06-27,MR_1A,FDX,BUY,8.503205068484601e-06,149.12000610351564,2016-07-12
2016-06-24,2016-06-27,MR_1A,SCHW,BUY,2.9645017922387205e-05,25.419999618530273,2016-07-12
2016-06-24,2016-06-27,MR_1A,MET,BUY,2.4486874152349328e-05,34.77935745239258,2016-07-12
2016-06-24,2016-06-27,MR_1A,ADBE,BUY,1.3290169220411807e-05,91.38000061035156,2016-07-12
2016-06-27,2016-06-28,MR_1A,BK,BUY,9.697821280088576e-22,36.540000457763675,2016-07-13
