date,drawdown
2015-10-16,0.0
2015-10-19,0.0
2015-10-20,-0.00361159619856799
2015-10-21,-0.005310820973103758
2015-10-22,-0.00042388154321759686
2015-10-23,0.0
2015-10-26,0.0
2015-10-27,-0.004673484786298698
2015-10-28,0.0
2015-10-29,0.0
2015-10-30,0.0
2015-11-02,0.0
2015-11-03,-0.009005801113238121
2015-11-04,0.0
2015-11-05,-0.0015474021627993606
2015-11-06,0.0
2015-11-09,-0.00741823864690605
2015-11-10,-0.012255760246286829
2015-11-11,-0.0025483193584064923
2015-11-12,-0.018470091886977902
2015-11-13,-0.029439332202430224
2015-11-16,-0.015776446929917753
2015-11-17,-0.014948635158860801
2015-11-18,-0.017612968321336964
2015-11-19,-0.012502915464225106
2015-11-20,0.0
2015-11-23,-0.0038329617006255257
2015-11-24,0.0
2015-11-25,0.0
2015-11-27,0.0
2015-11-30,0.0
2015-12-01,0.0
2015-12-02,-0.004856355217500163
2015-12-03,-0.01710283896373932
2015-12-04,-0.00770683509028347
2015-12-07,0.0
2015-12-08,0.0
2015-12-09,-0.00859258772590088
2015-12-10,-0.006537388954294787
2015-12-11,-0.01869223838398537
2015-12-14,-0.017881317693867582
2015-12-15,0.0
2015-12-16,0.0
2015-12-17,-0.005781898767824867
2015-12-18,-0.012916199296652997
2015-12-21,0.0
2015-12-22,0.0
2015-12-23,0.0
2015-12-24,0.0
2015-12-28,0.0
2015-12-29,0.0
2015-12-30,-0.0028196985767328098
2015-12-31,-0.010510014922027744
2016-01-04,-0.022059243013869634
2016-01-05,-0.040190885785083896
2016-01-06,-0.08492639320558604
2016-01-07,-0.131235766159166
2016-01-08,-0.1570918393590527
2016-01-11,-0.1286746996814263
2016-01-12,-0.11505442321925541
2016-01-13,-0.15765839972087314
2016-01-14,-0.1512637425707103
2016-01-15,-0.1968712869571776
2016-01-19,-0.2171596252379988
2016-01-20,-0.2358855302762467
2016-01-21,-0.22727430698014628
2016-01-22,-0.2183278620372331
2016-01-25,-0.23222529310629492
2016-01-26,-0.2251171025417471
2016-01-27,-0.225147811467856
2016-01-28,-0.22961160756786414
2016-01-29,-0.2131998103484105
2016-02-01,-0.20736871861951012
2016-02-02,-0.2344360593153857
2016-02-03,-0.22357045126618103
2016-02-04,-0.21874268493598126
2016-02-05,-0.23908401242821864
2016-02-08,-0.26845894687697014
2016-02-09,-0.24280095911816524
2016-02-10,-0.23272523333788164
2016-02-11,-0.23495361668508352
2016-02-12,-0.22076173344934846
2016-02-16,-0.2116281249856028
2016-02-17,-0.18147471834821383
2016-02-18,-0.19105085228015162
2016-02-19,-0.18960243772860352
2016-02-22,-0.17593717355639915
2016-02-23,-0.18138077077904768
2016-02-24,-0.18339692698532706
2016-02-25,-0.18339692698532706
2016-02-26,-0.18339692698532706
2016-02-29,-0.18339692698532706
2016-03-01,-0.18339692698532706
2016-03-02,-0.18339692698532706
2016-03-03,-0.18339692698532706
2016-03-04,-0.18339692698532706
2016-03-07,-0.18339692698532706
2016-03-08,-0.18339692698532706
2016-03-09,-0.18339692698532706
2016-03-10,-0.18339692698532706
2016-03-11,-0.18339692698532706
2016-03-14,-0.18339692698532706
2016-03-15,-0.18339692698532706
2016-03-16,-0.18339692698532706
2016-03-17,-0.18339692698532706
2016-03-18,-0.18339692698532706
2016-03-21,-0.18339692698532706
2016-03-22,-0.18339692698532706
2016-03-23,-0.18339692698532706
2016-03-24,-0.18339692698532706
2016-03-28,-0.18339692698532706
2016-03-29,-0.18339692698532706
2016-03-30,-0.18339692698532706
2016-03-31,-0.18339692698532706
2016-04-01,-0.18339692698532706
2016-04-04,-0.18339692698532706
2016-04-05,-0.18339692698532706
2016-04-06,-0.18339692698532706
2016-04-07,-0.18339692698532706
2016-04-08,-0.17979427330377296
2016-04-11,-0.1812953828325219
2016-04-12,-0.1675094797154748
2016-04-13,-0.16960581934174568
2016-04-14,-0.18304291353869406
2016-04-15,-0.1901857484831525
2016-04-18,-0.17698815822327163
2016-04-19,-0.19677850281432885
2016-04-20,-0.18198431926088798
2016-04-21,-0.193385819267044
2016-04-22,0.0
2016-04-25,-0.09439075327517354
2016-04-26,-0.06197162681371893
2016-04-27,-0.04953712380384101
2016-04-28,-0.0480889022564025
2016-04-29,-0.056032574961455084
2016-05-02,-0.02048282492269382
2016-05-03,-0.04783646525237162
2016-05-04,-0.046057740011550385
2016-05-05,-0.036419999088775135
2016-05-06,-0.031676713527323264
2016-05-09,-0.032439027668244025
2016-05-10,-0.032439027668244025
2016-05-11,-0.032439027668244025
2016-05-12,-0.032439027668244025
2016-05-13,-0.032439027668244025
2016-05-16,-0.032439027668244025
2016-05-17,-0.032439027668244025
2016-05-18,-0.032439027668244025
2016-05-19,-0.032439027668244025
2016-05-20,-0.025621151434923384
2016-05-23,-0.029602795855772635
2016-05-24,-0.025457529622660235
2016-05-25,-0.0222395230138257
2016-05-26,-0.02425758084890084
2016-05-27,-0.024312135323945827
2016-05-31,-0.02496666418587068
2016-06-01,-0.026984722020945817
2016-06-02,-0.0274756290706073
2016-06-03,-0.025675705909968483
2016-06-06,0.0
2016-06-07,0.0
2016-06-08,-0.0069936197463731364
2016-06-09,0.0
2016-06-10,-0.027935272975854297
2016-06-13,-0.016761163785512512
2016-06-14,-0.019483882184484935
2016-06-15,-0.01581025483956644
2016-06-16,0.0
2016-06-17,0.0
2016-06-20,-0.016041461430772008
2016-06-21,0.0
2016-06-22,-0.05261904747762036
2016-06-23,-0.03171213955455421
2016-06-24,-0.0691276560418258
2016-06-27,-0.08703647609787812
