date,ret
2015-10-16,0.0
2015-10-19,0.0040240537197164805
2015-10-20,-0.00361159619856799
2015-10-21,-0.0017053839326640619
2015-10-22,0.004913031661475387
2015-10-23,0.0006273819228312938
2015-10-26,0.01407493903298418
2015-10-27,-0.004673484786298698
2015-10-28,0.017593551126410034
2015-10-29,0.004323434525285608
2015-10-30,0.01860339986166304
2015-11-02,0.02574005332586471
2015-11-03,-0.009005801113238121
2015-11-04,0.022072342328427252
2015-11-05,-0.0015474021627993606
2015-11-06,0.018976012392386776
2015-11-09,-0.00741823864690605
2015-11-10,-0.004873675688727319
2015-11-11,0.009827889140918478
2015-11-12,-0.015962449948783486
2015-11-13,-0.01117565570318746
2015-11-16,0.014077311935086767
2015-11-17,0.0008410810414714032
2015-11-18,-0.0027047657183906226
2015-11-19,0.005201669700769518
2015-11-20,0.026104641248063
2015-11-23,-0.0038329617006255257
2015-11-24,0.029472265793588193
2015-11-25,0.0036351718538358835
2015-11-27,0.002713474956196782
2015-11-30,0.0
2015-12-01,0.0031772542389620906
2015-12-02,-0.004856355217500163
2015-12-03,-0.012306247254300406
2015-12-04,0.00955949843577697
2015-12-07,0.012128807332173253
2015-12-08,0.0031535363600021515
2015-12-09,-0.00859258772590088
2015-12-10,0.002073011303084682
2015-12-11,-0.012234833293722658
2015-12-14,0.0008263673455333187
2015-12-15,0.03120054921773363
2015-12-16,0.0036467485222795304
2015-12-17,-0.005781898767824867
2015-12-18,-0.007175790221467748
2015-12-21,0.028377862293716083
2015-12-22,0.0027940443695326778
2015-12-23,0.006379392906587622
2015-12-24,0.0019175574878365076
2015-12-28,0.0018524864934972296
2015-12-29,0.006583103817165092
2015-12-30,-0.0028196985767328098
2015-12-31,-0.0077120620356404546
2016-01-04,-0.01167189993431994
2016-01-05,-0.018540635147565876
2016-01-06,-0.04660875455125668
2016-01-07,-0.05060726548086758
2016-01-08,-0.029761898789935515
2016-01-11,0.03371320981875181
2016-01-12,0.01563167792464082
2016-01-13,-0.04814304700702887
2016-01-14,0.007591524801866534
2016-01-15,-0.053735826633124595
2016-01-19,-0.025261627372223594
2016-01-20,-0.023920464045995238
2016-01-21,0.01126954617050191
2016-01-22,0.01157777594782683
2016-01-25,-0.017779105067352252
2016-01-26,0.009258172352807126
2016-01-27,-3.9630408942614714e-05
2016-01-28,-0.005760835635586381
2016-01-29,0.021303276867452814
2016-02-01,0.007411146826848736
2016-02-02,-0.03414871622115845
2016-02-03,0.014192946495739989
2016-02-04,0.006217906490128655
2016-02-05,-0.02603665540151845
2016-02-08,-0.03860470134487781
2016-02-09,0.035073886351651984
2016-02-10,0.013306574937746118
2016-02-11,-0.002904283372821004
2016-02-12,0.018550356612683006
2016-02-16,0.011721201147084637
2016-02-17,0.03824769451198162
2016-02-18,-0.011699252480770195
2016-02-19,0.0017904890012316876
2016-02-22,0.016862420135992373
2016-02-23,-0.006605803645022279
2016-02-24,-0.0024628742329912967
2016-02-25,0.0
2016-02-26,0.0
2016-02-29,0.0
2016-03-01,0.0
2016-03-02,0.0
2016-03-03,0.0
2016-03-04,0.0
2016-03-07,0.0
2016-03-08,0.0
2016-03-09,0.0
2016-03-10,0.0
2016-03-11,0.0
2016-03-14,0.0
2016-03-15,0.0
2016-03-16,0.0
2016-03-17,0.0
2016-03-18,0.0
2016-03-21,0.0
2016-03-22,0.0
2016-03-23,0.0
2016-03-24,0.0
2016-03-28,0.0
2016-03-29,0.0
2016-03-30,0.0
2016-03-31,0.0
2016-04-01,0.0
2016-04-04,0.0
2016-04-05,0.0
2016-04-06,0.0
2016-04-07,0.0
2016-04-08,0.004411756213767548
2016-04-11,-0.001830162214052411
2016-04-12,0.016838677623124854
2016-04-13,-0.002518154351540791
2016-04-14,-0.016181585215706562
2016-04-15,-0.008743219274096825
2016-04-18,0.016297058535535314
2016-04-19,-0.02404624525004828
2016-04-20,0.01841856026672195
2016-04-21,-0.013937996880272863
2016-04-22,0.29541485026261927
2016-04-25,-0.09439075327517354
2016-04-26,0.035798139847511345
2016-04-27,0.013255998821912529
2016-04-28,0.0015237013288036394
2016-04-29,-0.008344973310934423
2016-05-02,0.03765993306104787
2016-05-03,-0.027925636247796204
2016-05-04,0.0018680879658898863
2016-05-05,0.010103065276604983
2016-05-06,0.004922565388412181
2016-05-09,-0.0007872516870863766
2016-05-10,0.0
2016-05-11,0.0
2016-05-12,0.0
2016-05-13,0.0
2016-05-16,0.0
2016-05-17,0.0
2016-05-18,0.0
2016-05-19,0.0
2016-05-20,0.0070464564283634346
2016-05-23,-0.0040863411872218425
2016-05-24,0.004271721121422711
2016-05-25,0.0033020691315674977
2016-05-26,-0.002063959305550589
2016-05-27,-5.591073420019299e-05
2016-05-31,-0.0006708383752851432
2016-06-01,-0.002069732142430003
2016-06-02,-0.0005045214199319581
2016-06-03,0.0018507743501776641
2016-06-06,0.03725859444376556
2016-06-07,0.00562641524693297
2016-06-08,-0.0069936197463731364
2016-06-09,0.008451409623212891
2016-06-10,-0.027935272975854297
2016-06-13,0.01149523162366961
2016-06-14,-0.0027691322786383976
2016-06-15,0.0037466261677605583
2016-06-16,0.04454703981922359
2016-06-17,0.07164778032879116
2016-06-20,-0.016041461430772008
2016-06-21,0.027993803342725165
2016-06-22,-0.05261904747762036
2016-06-23,0.022068110898157745
2016-06-24,-0.038640902169380875
2016-06-27,-0.01923874973006723
2016-06-28,0.042272325341827344
2016-06-29,0.01650554269660809
2016-06-30,0.011821658842566807
2016-07-01,-0.009404343746329147
2016-07-05,-0.02573189276323673
2016-07-06,0.0026133379213786334
