date,drawdown
2015-10-16,0.0
2015-10-19,0.0
2015-10-20,-0.0038008784385960004
2015-10-21,-0.005589158869952482
2015-10-22,-0.0004464215710554553
2015-10-23,0.0
2015-10-26,0.0
2015-10-27,-0.005593809277274042
2015-10-28,0.0
2015-10-29,0.0
2015-10-30,0.0
2015-11-02,0.0
2015-11-03,-0.00865819754894559
2015-11-04,0.0
2015-11-05,-0.0007054273278881418
2015-11-06,0.0
2015-11-09,-0.003649106267469837
2015-11-10,-0.008742641369817505
2015-11-11,0.0
2015-11-12,-0.01655127349973895
2015-11-13,-0.027131229545883095
2015-11-16,-0.014398120596609387
2015-11-17,-0.01377905402921853
2015-11-18,-0.0180936591245503
2015-11-19,-0.012413807839951607
2015-11-20,0.0
2015-11-23,-0.0032114794783575373
2015-11-24,0.0
2015-11-25,0.0
2015-11-27,0.0
2015-11-30,0.0
2015-12-01,0.0
2015-12-02,-0.005111100869261143
2015-12-03,-0.01799998788791235
2015-12-04,-0.008111105914834216
2015-12-07,0.0
2015-12-08,0.0
2015-12-09,-0.009039793761057235
2015-12-10,-0.006877717093827229
2015-12-11,-0.019666127868391947
2015-12-14,-0.01890783518013084
2015-12-15,0.0
2015-12-16,0.0
2015-12-17,-0.005684772958249762
2015-12-18,-0.011285163402864673
2015-12-21,-0.006930161537571422
2015-12-22,0.0
2015-12-23,0.0
2015-12-24,-0.0008553195582553519
2015-12-28,-0.010995364599812762
2015-12-29,-0.004332416359843827
2015-12-30,-0.015099451106972306
2015-12-31,-0.01572884455024548
2016-01-04,-0.01724414942762087
2016-01-05,-0.01849977375760159
2016-01-06,-0.07060036200689768
2016-01-07,-0.10644338229231232
2016-01-08,-0.14019209984824954
2016-01-11,-0.10753522186076048
2016-01-12,-0.09697838911312417
2016-01-13,-0.12856244674748107
2016-01-14,-0.13376011390335674
2016-01-15,-0.17083812078759142
2016-01-19,-0.18259452723260328
2016-01-20,-0.21068199340187055
2016-01-21,-0.2113193068333038
2016-01-22,-0.20189653516886497
2016-01-25,-0.21209220295185838
2016-01-26,-0.21200218748956323
2016-01-27,-0.22164725054147405
2016-01-28,-0.22962747886892065
2016-01-29,-0.22272582692556975
2016-02-01,-0.21713680544671732
2016-02-02,-0.24616788039625426
2016-02-03,-0.24275828075499972
2016-02-04,-0.23803747958189736
2016-02-05,-0.26460263832309505
2016-02-08,-0.2984456289966271
2016-02-09,-0.293646196662423
2016-02-10,-0.28821352564465164
2016-02-11,-0.28799655923134915
2016-02-12,-0.2769601609315183
2016-02-16,-0.2690318977262417
2016-02-17,-0.23910864283523903
2016-02-18,-0.24973783177183972
2016-02-19,-0.24827985290049626
2016-02-22,-0.23559276559472309
2016-02-23,-0.2408071244904928
2016-02-24,-0.24264181485095437
2016-02-25,-0.20942436748084514
2016-02-26,-0.20942436748084514
2016-02-29,-0.20942436748084514
2016-03-01,-0.20942436748084514
2016-03-02,-0.20942436748084514
2016-03-03,-0.20942436748084514
2016-03-04,-0.20942436748084514
2016-03-07,-0.20942436748084514
2016-03-08,-0.20942436748084514
2016-03-09,-0.20942436748084514
2016-03-10,-0.20942436748084514
2016-03-11,-0.20942436748084514
2016-03-14,-0.20942436748084514
2016-03-15,-0.20942436748084514
2016-03-16,-0.20942436748084514
2016-03-17,-0.20942436748084514
2016-03-18,-0.20942436748084514
2016-03-21,-0.20942436748084514
2016-03-22,-0.20942436748084514
2016-03-23,-0.20942436748084514
2016-03-24,-0.20942436748084514
2016-03-28,-0.20942436748084514
2016-03-29,-0.20942436748084514
2016-03-30,-0.20942436748084514
2016-03-31,-0.20942436748084514
2016-04-01,-0.20942436748084514
2016-04-04,-0.20942436748084514
2016-04-05,-0.20942436748084514
2016-04-06,-0.20942436748084514
2016-04-07,-0.20942436748084514
2016-04-08,-0.20593654052162558
2016-04-11,-0.20738980546072283
2016-04-12,-0.1940432979140735
2016-04-13,-0.19607282129058456
2016-04-14,-0.20908163744009345
2016-04-15,-0.21599681011186445
2016-04-18,-0.2032198642342109
2016-04-19,-0.22237943478920186
2016-04-20,-0.20805678354422452
2016-04-21,-0.21909488562453838
2016-04-22,0.0
2016-04-25,-0.09439075327517366
2016-04-26,-0.061971626813718816
2016-04-27,-0.04953712380384101
2016-04-28,-0.0480889022564025
2016-04-29,-0.056032574961455195
2016-05-02,-0.02048282492269371
2016-05-03,-0.04783646525237151
2016-05-04,-0.046057740011550496
2016-05-05,-0.036419999088775135
2016-05-06,-0.031676713527323375
2016-05-09,-0.032439027668244136
2016-05-10,-0.032439027668244136
2016-05-11,-0.032439027668244136
2016-05-12,-0.032439027668244136
2016-05-13,-0.032439027668244136
2016-05-16,-0.032439027668244136
2016-05-17,-0.032439027668244136
2016-05-18,-0.032439027668244136
2016-05-19,-0.032439027668244136
2016-05-20,-0.025262315843696093
2016-05-23,-0.029453520497221608
2016-05-24,-0.025090082357103305
2016-05-25,-0.021702706979382702
2016-05-26,-0.02382697838472514
2016-05-27,-0.02388440414793036
2016-05-31,-0.02457338189732483
2016-06-01,-0.026697653302667046
2016-06-02,-0.027214397565468618
2016-06-03,-0.025319741606901425
2016-06-06,0.0
2016-06-07,0.0
2016-06-08,-0.0067742425144078355
2016-06-09,0.0
2016-06-10,-0.027060179454996613
2016-06-13,-0.01623610767299788
2016-06-14,-0.018986200297023137
2016-06-15,-0.01547155657489574
2016-06-16,0.0
2016-06-17,0.0
2016-06-20,-0.015170682406524971
2016-06-21,0.0
2016-06-22,-0.05217716532467698
2016-06-23,-0.031599697591666254
2016-06-24,-0.06850622093023773
