date,ret
2015-10-16,0.0
2015-10-19,0.00423584602075433
2015-10-20,-0.0038008784385960004
2015-10-21,-0.0017951034011690625
2015-10-22,0.005171642430057188
2015-10-23,0.004338453203317716
2015-10-26,0.012510039262646044
2015-10-27,-0.005593809277274042
2015-10-28,0.01783149047845023
2015-10-29,0.00374126707256206
2015-10-30,0.014376616087600436
2015-11-02,0.023585476077450984
2015-11-03,-0.00865819754894559
2015-11-04,0.02207913602715683
2015-11-05,-0.0007054273278881418
2015-11-06,0.01869451748272999
2015-11-09,-0.003649106267469837
2015-11-10,-0.005112190027015795
2015-11-11,0.01033055865968846
2015-11-12,-0.01655127349973895
2015-11-13,-0.010758014892951695
2015-11-16,0.0130882081283481
2015-11-17,0.0006281101734155747
2015-11-18,-0.004374886898274699
2015-11-19,0.005784514314811862
2015-11-20,0.026993795487725514
2015-11-23,-0.0032114794783575373
2015-11-24,0.029398379754886905
2015-11-25,0.003808318285377865
2015-11-27,0.0022718616566026473
2015-11-30,0.0
2015-12-01,0.00334447814627592
2015-12-02,-0.005111100869261143
2015-12-03,-0.012955101850983142
2015-12-04,0.01007014445122989
2015-12-07,0.012770240486322582
2015-12-08,0.0033182085335285993
2015-12-09,-0.009039793761057235
2015-12-10,0.0021817996864230693
2015-12-11,-0.012876974965400967
2015-12-14,0.0007735045271997087
2015-12-15,0.031908477018862014
2015-12-16,0.0030825813870902774
2015-12-17,-0.005684772958249762
2015-12-18,-0.005632409413337647
2015-12-21,0.0044047097343880015
2015-12-22,0.014769737601413091
2015-12-23,0.02555312547606281
2015-12-24,-0.0008553195582553519
2015-12-28,-0.010148725444921847
2015-12-29,0.006737024278225867
2015-12-30,-0.010813884999413381
2015-12-31,-0.0006390426363155344
2016-01-04,-0.001539519744112594
2016-01-05,-0.0012776564283482061
2016-01-06,-0.05308260442155932
2016-01-07,-0.03856577818645612
2016-01-08,-0.03776897500072862
2016-01-11,0.03798159796127165
2016-01-12,0.011828850847925843
2016-01-13,-0.034975970955266056
2016-01-14,-0.0059644746046072505
2016-01-15,-0.04280339370115083
2016-01-19,-0.01417866250216282
2016-01-20,-0.03436173001652987
2016-01-21,-0.0008074228968626418
2016-01-22,0.011947511516485543
2016-01-25,-0.01277486971585906
2016-01-26,0.00011424618798328012
2016-01-27,-0.012239961709009206
2016-01-28,-0.010252714251986927
2016-01-29,0.00895885010698172
2016-02-01,0.007190540574306681
2016-02-02,-0.03708320323591474
2016-02-03,0.0045230225040646665
2016-02-04,0.006234206400842712
2016-02-05,-0.03486412786631676
2016-02-08,-0.04602000556047803
2016-02-09,0.0068411409472652895
2016-02-10,0.00769114711650376
2016-02-11,0.000304819522594757
2016-02-12,0.015500484503159662
2016-02-16,0.010965181691082071
2016-02-17,0.040936471506654026
2016-02-18,-0.013969391078651805
2016-02-19,0.0019432925357099062
2016-02-22,0.016877407576112002
2016-02-23,-0.006821441060571032
2016-02-24,-0.0024166327420160894
2016-02-25,0.043859626820527575
2016-02-26,0.0
2016-02-29,0.0
2016-03-01,0.0
2016-03-02,0.0
2016-03-03,0.0
2016-03-04,0.0
2016-03-07,0.0
2016-03-08,0.0
2016-03-09,0.0
2016-03-10,0.0
2016-03-11,0.0
2016-03-14,0.0
2016-03-15,0.0
2016-03-16,0.0
2016-03-17,0.0
2016-03-18,0.0
2016-03-21,0.0
2016-03-22,0.0
2016-03-23,0.0
2016-03-24,0.0
2016-03-28,0.0
2016-03-29,0.0
2016-03-30,0.0
2016-03-31,0.0
2016-04-01,0.0
2016-04-04,0.0
2016-04-05,0.0
2016-04-06,0.0
2016-04-07,0.0
2016-04-08,0.004411756213767548
2016-04-11,-0.001830162214052633
2016-04-12,0.016838677623125076
2016-04-13,-0.002518154351540791
2016-04-14,-0.01618158521570645
2016-04-15,-0.008743219274096936
2016-04-18,0.016297058535535536
2016-04-19,-0.024046245250048393
2016-04-20,0.01841856026672173
2016-04-21,-0.013937996880272863
2016-04-22,0.29541485026261927
2016-04-25,-0.09439075327517366
2016-04-26,0.03579813984751157
2016-04-27,0.013255998821912529
2016-04-28,0.0015237013288034174
2016-04-29,-0.008344973310934534
2016-05-02,0.03765993306104809
2016-05-03,-0.027925636247796204
2016-05-04,0.0018680879658896643
2016-05-05,0.010103065276604983
2016-05-06,0.004922565388412181
2016-05-09,-0.0007872516870863766
2016-05-10,0.0
2016-05-11,0.0
2016-05-12,0.0
2016-05-13,0.0
2016-05-16,0.0
2016-05-17,0.0
2016-05-18,0.0
2016-05-19,0.0
2016-05-20,0.007417322556172001
2016-05-23,-0.004299828273442885
2016-05-24,0.00449585695509791
2016-05-25,0.003474552178021062
2016-05-26,-0.0021713965892550258
2016-05-27,-5.8827443428222104e-05
2016-05-31,-0.0007058362271048502
2016-06-01,-0.002177786996908293
2016-06-02,-0.0005309185419669626
2016-06-03,0.0019476603619805744
2016-06-06,0.0361100396939793
2016-06-07,0.005448963062911982
2016-06-08,-0.0067742425144078355
2016-06-09,0.008184496015779752
2016-06-10,-0.027060179454996613
2016-06-13,0.011125119512464421
2016-06-14,-0.002795480343886436
2016-06-15,0.0035826649158161583
2016-06-16,0.04294249235958936
2016-06-17,0.06968658411785111
2016-06-20,-0.015170682406524971
2016-06-21,0.026671517995694893
2016-06-22,-0.05217716532467698
2016-06-23,0.02171024687336165
2016-06-24,-0.038110813520801146
2016-06-27,-0.018946713159462725
2016-06-28,0.041228446150917364
2016-06-29,0.017440694504370136
2016-06-30,0.010722195144275082
2016-07-01,-0.008535808476937357
2016-07-05,-0.023076219024294464
