date,equity
2015-10-16,1.0
2015-10-19,1.0040240537197165
2015-10-20,1.0003979242640315
2015-10-21,0.9986918617177212
2015-10-22,1.0035984664543982
2015-10-23,1.0042281059900329
2015-10-26,1.0183625553570517
2015-10-27,1.0136032534476542
2015-10-28,1.0314361341090812
2015-10-29,1.0358954807019156
2015-10-30,1.055166658544303
2015-11-02,1.0823267046029077
2015-11-03,1.0725794855617075
2015-11-04,1.096253827141474
2015-11-05,1.094557481598378
2015-11-06,1.1153278179333685
2015-11-09,1.1070540500104058
2015-11-10,1.101658627600763
2015-11-11,1.1124856064639597
2015-11-12,1.0947276106520367
2015-11-13,1.0824933117866165
2015-11-16,1.0977319078042818
2015-11-17,1.0986551893005543
2015-11-18,1.0956835844082022
2015-11-19,1.101382968510849
2015-11-20,1.1301341757805512
2015-11-23,1.1258024147682164
2015-11-24,1.1589823627673286
2015-11-25,1.1631954628315526
2015-11-27,1.1663517645891077
2015-11-30,1.1663517645891077
2015-12-01,1.1700575606772694
2015-12-02,1.1643753455376988
2015-12-03,1.1500462546387005
2015-12-04,1.1610401200109903
2015-12-07,1.175122151931527
2015-12-08,1.178827942365087
2015-12-09,1.1686987598565717
2015-12-10,1.1711214855956553
2015-12-11,1.1567930094526957
2015-12-14,1.1577489454212486
2015-12-15,1.1938713483746435
2015-12-16,1.1982250969501205
2015-12-17,1.1912970807384877
2015-12-18,1.1827485827956614
2015-12-21,1.2163124592063246
2015-12-22,1.2197108901845626
2015-12-23,1.2274919051854938
2015-12-24,1.2298456914795408
2015-12-28,1.2321239640120925
2015-12-29,1.240235163982801
2015-12-30,1.2367380746561047
2015-12-31,1.2272002739025183
2016-01-04,1.212876515106158
2016-01-05,1.1903890141605236
2016-01-06,1.1349064647790033
2016-01-07,1.0774719520199794
2016-01-08,1.0454043408349665
2016-01-11,1.0806482767229697
2016-01-12,1.0975406225345212
2016-01-13,1.044701672751718
2016-01-14,1.052632551410964
2016-01-15,0.9960684711199609
2016-01-19,0.970906160565308
